,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
32,University of Detroit Mercy,5,https://collegedunia.com/usa/college/1248-university-of-detroit-mercy-detroit,,,,,,,,,,,,,,,,,12694,Study_Abroad,880,College,,Study_Abroad-College-LS
33,Texas Wesleyan University,14,https://collegedunia.com/usa/college/1322-texas-wesleyan-university-fort-worth,,,3,https://studyabroad.shiksha.com/usa/universities/texas-wesleyan-university,,,19,https://www.collegedekho.com/usa/texas-wesleyan-university/,,,,,,,,,12695,Study_Abroad,880,College,,Study_Abroad-College-LS
34,Universiti Putra Malaysia,20,https://collegedunia.com/malaysia/college/743-universiti-putra-malaysia-seri-kembangan,,,15,https://studyabroad.shiksha.com/malaysia/universities/universiti-putra-malaysia,,,,,,,,,,,,,12696,Study_Abroad,720,College,,Study_Abroad-College-LS
35,Universiti Sains Malaysia,28,https://collegedunia.com/malaysia/college/735-universiti-sains-malaysia-george-town,,,5,https://studyabroad.shiksha.com/malaysia/universities/universiti-sains-malaysia,,,,,,,,,,,,,12697,Study_Abroad,720,College,,Study_Abroad-College-LS
36,Dublin Institute of Technology,44,https://collegedunia.com/ireland/college/2779-technological-university-dublin-dublin/admission,,,4,https://studyabroad.shiksha.com/ireland/universities/dublin-institute-of-technology,,,63,https://www.collegedekho.com/ireland/technological-university-dublin/,,,,,,,,,12698,Study_Abroad,720,College,,Study_Abroad-College-LS
37,York University fees,6,https://collegedunia.com/canada/college/109-york-university-toronto,,,5,https://studyabroad.shiksha.com/canada/universities/york-university,,,13,https://www.collegedekho.com/canada/york-university/,,,,,37,https://leverageedu.com/universities/york-university-canada,,,12699,Study_Abroad,720,College,,Study_Abroad-College-LS
38,National University of Singapore fees,9,https://collegedunia.com/singapore/college/767-national-university-of-singapore-singapore,,,1,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore,,,,,,,,,32,https://leverageedu.com/universities/national-university-of-singapore,,,12700,Study_Abroad,720,College,,Study_Abroad-College-LS
39,Saint Paul University,5,https://collegedunia.com/canada/college/53-saint-paul-university-ottawa,,,96,https://studyabroad.shiksha.com/usa/universities-in-saint-paul,70,https://www.careers360.com/colleges/st-paul-college-ulhasnagar,,,,,,,,,,,12701,Study_Abroad,720,College,,Study_Abroad-College-LS
40,University of Sherbrooke,4,https://collegedunia.com/canada/college/73-university-of-sherbrooke-sherbrooke,,,3,https://studyabroad.shiksha.com/canada/universities/universit-de-sherbrooke,,,,,,,,,,,,,12702,Study_Abroad,720,College,,Study_Abroad-College-LS
41,University of Potomac,5,https://collegedunia.com/usa/college/1910-university-of-potomac-washington,,,,,,,,,,,,,,,,,12703,Study_Abroad,720,College,,Study_Abroad-College-LS
42,Purdue University - Northwest,19,https://collegedunia.com/usa/college/1388-purdue-university---northwest-hammond,,,,,,,,,,,,,,,,,12704,Study_Abroad,720,College,,Study_Abroad-College-LS
43,Hawaii Pacific University,34,https://collegedunia.com/usa/college/1423-hawaii-pacific-university-honolulu/admission,,,3,https://studyabroad.shiksha.com/usa/universities/hawaii-pacific-university,,,18,https://www.collegedekho.com/usa/hawaii-pacific-university/,,,,,,,,,12705,Study_Abroad,720,College,,Study_Abroad-College-LS
44,California University of Pennsylvania,6,https://collegedunia.com/usa/college/1085-california-university-of-pennsylvania-california,,,4,https://studyabroad.shiksha.com/usa/universities/california-university-of-pennsylvania,,,,,,,,,,,,,12706,Study_Abroad,720,College,,Study_Abroad-College-LS
