,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_mbbsneet.in,URL_mbbsneet.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
1779,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,8,https://www.shiksha.com/engineering/ranking/top-engineering-colleges-in-andhra-pradesh/44-2-100-0-0,2,https://engineering.careers360.com/colleges/ranking/top-engineering-colleges-in-andhra-pradesh,12,https://www.collegedekho.com/btech-colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1780,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,8,https://www.shiksha.com/engineering/ranking/top-engineering-colleges-in-andhra-pradesh/44-2-100-0-0,3,https://engineering.careers360.com/colleges/list-of-be-btech-colleges-in-andhra-pradesh,10,https://www.collegedekho.com/engineering/colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1781,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,8,https://www.shiksha.com/engineering/ranking/top-engineering-colleges-in-andhra-pradesh/44-2-100-0-0,3,https://engineering.careers360.com/colleges/list-of-be-btech-colleges-in-andhra-pradesh,11,https://www.collegedekho.com/engineering/colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1782,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,8,https://www.shiksha.com/engineering/ranking/top-engineering-colleges-in-andhra-pradesh/44-2-100-0-0,3,https://engineering.careers360.com/colleges/list-of-be-btech-colleges-in-andhra-pradesh,12,https://www.collegedekho.com/btech-colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1783,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,9,https://www.shiksha.com/engineering/colleges/b-tech-colleges-andhra-pradesh,1,https://engineering.careers360.com/colleges/ranking/top-engineering-colleges-in-andhra-pradesh,10,https://www.collegedekho.com/engineering/colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1784,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,9,https://www.shiksha.com/engineering/colleges/b-tech-colleges-andhra-pradesh,1,https://engineering.careers360.com/colleges/ranking/top-engineering-colleges-in-andhra-pradesh,11,https://www.collegedekho.com/engineering/colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1785,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,9,https://www.shiksha.com/engineering/colleges/b-tech-colleges-andhra-pradesh,1,https://engineering.careers360.com/colleges/ranking/top-engineering-colleges-in-andhra-pradesh,12,https://www.collegedekho.com/btech-colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1786,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,9,https://www.shiksha.com/engineering/colleges/b-tech-colleges-andhra-pradesh,2,https://engineering.careers360.com/colleges/ranking/top-engineering-colleges-in-andhra-pradesh,10,https://www.collegedekho.com/engineering/colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1787,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,9,https://www.shiksha.com/engineering/colleges/b-tech-colleges-andhra-pradesh,2,https://engineering.careers360.com/colleges/ranking/top-engineering-colleges-in-andhra-pradesh,11,https://www.collegedekho.com/engineering/colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1788,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,9,https://www.shiksha.com/engineering/colleges/b-tech-colleges-andhra-pradesh,2,https://engineering.careers360.com/colleges/ranking/top-engineering-colleges-in-andhra-pradesh,12,https://www.collegedekho.com/btech-colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1789,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,9,https://www.shiksha.com/engineering/colleges/b-tech-colleges-andhra-pradesh,3,https://engineering.careers360.com/colleges/list-of-be-btech-colleges-in-andhra-pradesh,10,https://www.collegedekho.com/engineering/colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
1790,Top BTech Colleges In Andhra Pradesh,5,https://collegedunia.com/engineering/andhra-pradesh-colleges,,,9,https://www.shiksha.com/engineering/colleges/b-tech-colleges-andhra-pradesh,3,https://engineering.careers360.com/colleges/list-of-be-btech-colleges-in-andhra-pradesh,11,https://www.collegedekho.com/engineering/colleges-in-andhra-pradesh/,,,,,61,https://aglasem.com/top-engineering-colleges-in-andhra-pradesh/,,,,,,,,,,,5025,Listing,110,Listing_Page,,part_1
