,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
33,Concordia University BA in Journalism,11,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-arts-ba-journalism-256,,,15,https://studyabroad.shiksha.com/usa/universities/concordia-university-chicago/bachelors-in-journalism,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
34,Concordia University BA in Journalism,12,https://collegedunia.com/canada/college/3-concordia-university-montreal/graduate-diploma-journalism-15261,,,13,https://studyabroad.shiksha.com/canada/universities/concordia-university/journalism-ba,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
35,Concordia University BA in Journalism,12,https://collegedunia.com/canada/college/3-concordia-university-montreal/graduate-diploma-journalism-15261,,,14,https://studyabroad.shiksha.com/canada/universities/concordia-university/journalism-ba,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
36,Concordia University BA in Journalism,12,https://collegedunia.com/canada/college/3-concordia-university-montreal/graduate-diploma-journalism-15261,,,15,https://studyabroad.shiksha.com/usa/universities/concordia-university-chicago/bachelors-in-journalism,,,52,https://www.collegedekho.com/ae/usa/concordia-university-chicago/course-fees/,,,,,,,,,,,16311,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
37,Concordia University BEng in Mechanical Engineering,11,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-engineering-beng-mechanical-engineering-264,,,7,https://studyabroad.shiksha.com/canada/universities/concordia-university/bachelor-of-engineering-beng-in-mechanical-engineering,,,29,https://www.collegedekho.com/study-abroad/articles/study-engineering-in-canada/,,,,,,,,,,,16312,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
38,Concordia University BEng in Software Engineering,7,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-engineering-beng-software-engineering-283,,,8,https://studyabroad.shiksha.com/canada/universities/concordia-university/software-engineering-beng,,,,,,,,,,,19,https://leverageedu.com/universities/concordia-university,,,16313,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
39,Concordia University BEng in Software Engineering,7,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-engineering-beng-software-engineering-283,,,9,https://studyabroad.shiksha.com/canada/universities/concordia-university/software-engineering-beng,,,,,,,,,,,19,https://leverageedu.com/universities/concordia-university,,,16313,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
40,Concordia University BEng in Software Engineering,7,https://collegedunia.com/canada/college/3-concordia-university-montreal/bachelor-of-engineering-beng-software-engineering-283,,,10,https://studyabroad.shiksha.com/canada/universities/concordia-university/bachelor-of-engineering-beng-in-computer-engineering,,,,,,,,,,,19,https://leverageedu.com/universities/concordia-university,,,16313,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
41,University of Alberta BSc in Mathematics,20,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton/bachelor-of-science-bsc-mathematics-789,,,22,https://studyabroad.shiksha.com/canada/universities/university-of-alberta/master-of-science-in-mathematical-and-statistical-sciences,,,,,,,,,,,66,https://leverageedu.com/blog/medical-courses-without-neet/,,,16314,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
42,University of Alberta BSc in Neuroscience,6,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton/bachelor-of-science-bsc-neuroscience-829,,,29,https://studyabroad.shiksha.com/canada/universities/university-of-alberta/msc-in-pharmacology,,,,,,,,,,,43,https://leverageedu.com/blog/medical-courses-without-neet/,,,16315,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
43,University of Alberta BSc in Neuroscience,7,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton/bachelor-of-science-bsc-neuroscience-829,,,29,https://studyabroad.shiksha.com/canada/universities/university-of-alberta/msc-in-pharmacology,,,,,,,,,,,43,https://leverageedu.com/blog/medical-courses-without-neet/,,,16315,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
44,University of Alberta BSc in Neuroscience,8,https://collegedunia.com/canada/college/9-university-of-alberta-edmonton/master-of-science-msc-neuroscience-18527,,,29,https://studyabroad.shiksha.com/canada/universities/university-of-alberta/msc-in-pharmacology,,,,,,,,,,,43,https://leverageedu.com/blog/medical-courses-without-neet/,,,16315,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
45,University of Calgary BSc in Biochemistry,6,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/bachelor-of-science-bsc-biochemistry-1015,,,5,https://studyabroad.shiksha.com/canada/universities/university-of-calgary/bachelor-of-science-in-biochemistry,,,,,,,,,,,46,https://leverageedu.com/blog/medical-courses-in-canada-after-12th/,,,16316,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
46,University of Calgary BSc in Biochemistry,7,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/bachelor-of-science-bsc-biochemistry-1015,,,5,https://studyabroad.shiksha.com/canada/universities/university-of-calgary/bachelor-of-science-in-biochemistry,,,,,,,,,,,46,https://leverageedu.com/blog/medical-courses-in-canada-after-12th/,,,16316,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
47,University of Calgary BSc in Biochemistry,8,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/master-of-science-msc-biochemistry-and-molecular-biology-16754,,,5,https://studyabroad.shiksha.com/canada/universities/university-of-calgary/bachelor-of-science-in-biochemistry,,,,,,,,,,,46,https://leverageedu.com/blog/medical-courses-in-canada-after-12th/,,,16316,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
48,University of Calgary BSc in Chemistry,6,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/bachelor-of-science-bsc-chemistry-1028,,,8,https://studyabroad.shiksha.com/canada/universities/university-of-calgary/master-of-science-in-chemistry,,,,,,,,,,,,,,,16317,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
49,University of Calgary BSc in Computer Science,6,https://collegedunia.com/canada/college/10-university-of-calgary-calgary/bachelor-of-science-bsc-computer-science-1035,,,5,https://studyabroad.shiksha.com/canada/universities/university-of-calgary/bachelor-of-science-in-computer-science,,,,,,,,,,,,,,,16318,Study_Abroad,0,Single_Course_Page,,Study_Abroad-Single_Course_Page
