Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
University of Florida,1,TOP SITE,02-12-2021,https://www.ufl.edu/,41,https://collegedunia.com/usa/college/1339-university-of-florida-gainesville,4,https://studyabroad.shiksha.com/usa/universities/university-of-florida,,,,,,,,,,,12148,Study_Abroad,22200,College,,Study_Abroad-College-HS
Brown University,1,TOP SITE,02-12-2021,https://www.brown.edu/,22,https://collegedunia.com/usa/college/1875-brown-university-providence,7,https://studyabroad.shiksha.com/usa/universities/brown-university,,,,,,,,,,,12149,Study_Abroad,22200,College,,Study_Abroad-College-HS
McMaster University,1,TOP SITE,02-12-2021,https://www.mcmaster.ca/,4,https://collegedunia.com/canada/college/40-mcmaster-university-hamilton,5,https://studyabroad.shiksha.com/canada/universities/mcmaster-university,,,,,,,,,,,12150,Study_Abroad,22200,College,,Study_Abroad-College-HS
Monash University,1,TOP SITE,02-12-2021,https://www.monash.edu/,28,https://collegedunia.com/australia/college/606-monash-university-melbourne/admission,7,https://studyabroad.shiksha.com/australia/universities/monash-university,,,34,https://www.collegedekho.com/australia/monash-university/,,,84,https://leverageedu.com/blog/monash-university-acceptance-rate/,,,12151,Study_Abroad,22200,College,,Study_Abroad-College-HS
Carleton University,1,TOP SITE,02-12-2021,https://carleton.ca/,4,https://collegedunia.com/canada/college/2-carleton-university-ottawa,2,https://studyabroad.shiksha.com/canada/universities/carleton-university,,,26,https://www.collegedekho.com/canada/carleton-university/,,,,,,,12152,Study_Abroad,22200,College,,Study_Abroad-College-HS
University of Manitoba,1,TOP SITE,02-12-2021,https://umanitoba.ca/,4,https://collegedunia.com/canada/college/90-university-of-manitoba-winnipeg,3,https://studyabroad.shiksha.com/canada/universities/university-of-manitoba,,,40,https://www.collegedekho.com/canada/university-of-manitoba/,,,,,,,12154,Study_Abroad,22200,College,,Study_Abroad-College-HS
University of Ottawa,1,TOP SITE,02-12-2021,https://www2.uottawa.ca/en,4,https://collegedunia.com/canada/college/95-university-of-ottawa-ottawa,2,https://studyabroad.shiksha.com/canada/universities/university-of-ottawa,,,21,https://www.collegedekho.com/canada/university-of-ottawa/,,,,,,,12155,Study_Abroad,22200,College,,Study_Abroad-College-HS
University of Bristol,1,TOP SITE,02-12-2021,https://www.bristol.ac.uk/,16,https://collegedunia.com/uk/college/797-university-of-bristol-bristol,3,https://studyabroad.shiksha.com/uk/universities/university-of-bristol,,,32,https://www.collegedekho.com/united-kingdom/university-of-bristol/,,,15,https://leverageedu.com/universities/university-of-bristol,,,12156,Study_Abroad,22200,College,,Study_Abroad-College-HS
Dalhousie University,1,TOP SITE,02-12-2021,https://www.dal.ca/,5,https://collegedunia.com/canada/college/22-dalhousie-university-halifax,3,https://studyabroad.shiksha.com/canada/universities/dalhousie-university,,,25,https://www.collegedekho.com/canada/dalhousie-university/,,,,,,,12158,Study_Abroad,22200,College,,Study_Abroad-College-HS
University of Leicester,1,TOP SITE,02-12-2021,https://le.ac.uk/,9,https://collegedunia.com/uk/college/827-university-of-leicester-leicester,6,https://studyabroad.shiksha.com/uk/universities/university-of-leicester,,,42,https://www.collegedekho.com/united-kingdom/university-of-leicester/,,,,,,,12159,Study_Abroad,22200,College,,Study_Abroad-College-HS
