city_id,city,New York,Los Angeles,Chicago,Houston,Phoenix
7248,Middlebury,434.556,4663.619,1445.46,3008.787,4127.141
8660,Saint Charles,1556.897,2966.326,501.062,1274.94,2353.051
5573,Fredonia,661.325,4011.216,793.057,2315.779,3474.737
6887,Loudonville,794.282,3734.229,554.304,1983.56,3142.519
6926,Lyndonville,532.488,4848.104,1629.944,3145.434,4311.625
9940,Weston,2035.725,4378.179,2203.034,1890.857,3780.899
3530,Albany,244.653,4535.778,1317.619,2818.885,3999.3
7929,Orangeburg,1151.009,3867.527,1354.526,1624.435,3327.482
9879,West Lafayette,1226.896,3384.001,197.678,1678.839,2780.572
3611,Anaheim,4480.672,42.208,3231.834,2460.901,571.38
6665,Laramie,2871.173,1692.189,1622.335,1856.894,1404.52
6308,Irvine,4487.316,64.024,3238.477,2465.006,575.486
6518,Kirksville,1785.447,2866.623,585.963,1459.726,2208.825
7528,Murray,3498.079,1096.612,2249.241,2365.061,1055.051
8794,Savannah,1289.372,3908.132,1555.995,1553.891,3368.069
4874,Dahlonega,1349.598,3609.968,1137.024,1380.524,3069.924
5328,Fairbanks,6827.592,5277.481,5556.609,6452.936,5667.748
7745,North Dartmouth,336.066,4822.088,1603.929,2952.159,4249.873
4339,Canton,720.261,3812.13,624.986,2061.461,3220.419
4673,College Station,2639.481,2374.418,1715.629,152.976,1777.137
4924,Dearborn,983.599,3663.222,447.039,2087.615,3189.347
6055,Henniker,409.764,4737.479,1519.32,3022.711,4201.001
8516,Ripon,0,0,0,0,0
7789,Northampton,261.224,4679.48,1461.321,2874.17,4143.001
9327,Tacoma,4580.211,1778.128,3309.228,3786.766,2315.183
9497,Tullahoma,1396.177,3336.029,881.586,1322.458,2744.319
3630,Ann Arbor,988.8,3604.584,388.4,2073.035,3161.194
6542,Kutztown,171.819,4307.747,1166.584,2457.402,3716.055
6708,Lawton,2471.317,2064.081,1415.781,687.03,1472.39
9044,South Orange,29.329,4470.374,1252.214,2595.784,3854.405
8714,San Antonio,2929.804,2175.642,1998.562,317.71,1578.362
5310,Evansville,1376.13,3203.003,469.509,1368.729,2611.292
8319,Potsdam,560.041,4453.831,1237.648,2831.575,3990.533
7856,Oberlin,863.688,3671.539,507.515,1920.889,3079.848
3838,Baton Rouge,2189.093,2919.86,1471.87,432.538,2322.579
7672,Newburgh,342.898,4493.002,1274.843,2797.566,3956.524
9312,Sweet Briar,631.148,4029.866,1143.15,2002.265,3438.174
