Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_mbbsneet.in,URL_mbbsneet.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
private agriculture colleges in uttarakhand,1,TOP SITE,06-12-2021,https://targetstudy.com/colleges/private-agriculture-colleges-in-uttarakhand.html,2,https://collegedunia.com/bsc-agriculture/uttarakhand-colleges,,,4,https://www.shiksha.com/science/colleges/b-sc-agriculture-colleges-uttarakhand,6,https://engineering.careers360.com/colleges/list-of-agricultural-engineering-colleges-in-uttarakhand,5,https://www.collegedekho.com/agriculture/colleges-in-uttaranchal/,,,,,,,,,,,61,https://www.embibe.com/exams/bsc-agriculture-college-fees/,,,,,17659,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
private architecture colleges in gujarat,1,TOP SITE,06-12-2021,https://www.collegesearch.in/architecture/colleges-gujarat,2,https://collegedunia.com/architecture/gujarat-colleges,,,8,https://www.shiksha.com/architecture-planning/colleges/b-arch-colleges-gujarat,3,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-gujarat,10,https://www.collegedekho.com/engineering/architecture_engineering-colleges-in-gujarat/,,,,,,,,,,,,,,,,,17660,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
private architecture colleges in kerala,1,TOP SITE,06-12-2021,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-kerala,2,https://collegedunia.com/architecture/kerala-colleges,,,5,https://www.shiksha.com/architecture-planning/colleges/b-arch-colleges-kerala,1,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-kerala,9,https://www.collegedekho.com/engineering/architecture_engineering-colleges-in-kerala/,,,,,,,,,,,,,,,,,17661,Keywords_Listing_ragini,20,,,Keywords_Listing_ragini
private architecture colleges in kerala,1,careers360.com,06-12-2021,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-kerala,2,https://collegedunia.com/architecture/kerala-colleges,,,5,https://www.shiksha.com/architecture-planning/colleges/b-arch-colleges-kerala,1,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-kerala,9,https://www.collegedekho.com/engineering/architecture_engineering-colleges-in-kerala/,,,,,,,,,,,,,,,,,17661,Keywords_Listing_ragini,20,,,Keywords_Listing_ragini
private architecture colleges in maharashtra,1,TOP SITE,06-12-2021,https://collegedunia.com/architecture/maharashtra-colleges,1,https://collegedunia.com/architecture/maharashtra-colleges,,,6,https://www.shiksha.com/architecture-planning/colleges/b-arch-colleges-maharashtra,2,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-maharashtra,9,https://www.collegedekho.com/barch-colleges-in-maharashtra/,,,,,37,https://admission.aglasem.com/maharashtra-architecture/,,,,,,,,,,,17662,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
private architecture colleges in maharashtra,1,collegedunia.com,06-12-2021,https://collegedunia.com/architecture/maharashtra-colleges,1,https://collegedunia.com/architecture/maharashtra-colleges,,,6,https://www.shiksha.com/architecture-planning/colleges/b-arch-colleges-maharashtra,2,https://engineering.careers360.com/colleges/list-of-b-arch-colleges-in-maharashtra,9,https://www.collegedekho.com/barch-colleges-in-maharashtra/,,,,,37,https://admission.aglasem.com/maharashtra-architecture/,,,,,,,,,,,17662,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
government arts colleges in kerala,1,TOP SITE,06-12-2021,http://collegiateedu.kerala.gov.in/?page_id=223,3,https://collegedunia.com/arts/kerala-colleges,,,25,https://www.shiksha.com/college/government-arts-college-thiruvananthapuram-105815/course-m-a-in-english-581789,12,https://university.careers360.com/colleges/list-of-government-degree-colleges-in-kerala,6,https://www.collegedekho.com/arts/govt-colleges-in-kerala/,,,,,,,,,,,,,,,,,17663,Keywords_Listing_ragini,50,,,Keywords_Listing_ragini
government arts colleges in maharashtra,1,TOP SITE,06-12-2021,https://targetstudy.com/colleges/government-arts-colleges-in-maharashtra.html,3,https://collegedunia.com/arts/maharashtra-colleges,,,4,https://www.shiksha.com/arts-fine-visual-performing/applied-arts/colleges/colleges-maharashtra,8,https://university.careers360.com/colleges/list-of-ba-in-arts-degree-colleges-in-maharashtra,2,https://www.collegedekho.com/arts/govt-colleges-in-maharashtra/,,,,,,,,,,,,,65,https://leverageedu.com/blog/best-arts-colleges-in-india/,,,17664,Keywords_Listing_ragini,40,,,Keywords_Listing_ragini
government commerce colleges in assam,1,TOP SITE,06-12-2021,https://targetstudy.com/colleges/government-commerce-colleges-in-assam.html,3,https://collegedunia.com/commerce/assam-colleges,,,4,https://www.shiksha.com/accounting-commerce/colleges/b-com-colleges-assam,2,https://finance.careers360.com/colleges/list-of-government-commerce-colleges-in-guwahati,11,https://www.collegedekho.com/commerce-banking/commerce-colleges-in-assam/,,,,,,,72,https://byjus.com/commerce/top-10-commerce-colleges-in-india/,,,,,,,,,17665,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
government commerce colleges in kerala,1,TOP SITE,06-12-2021,https://targetstudy.com/colleges/government-commerce-colleges-in-kerala.html,5,https://collegedunia.com/bcom/kerala-colleges,,,7,https://www.shiksha.com/accounting-commerce/colleges/b-com-colleges-kerala,2,https://finance.careers360.com/colleges/list-of-government-commerce-colleges-in-kerala,3,https://www.collegedekho.com/bcom-govt-colleges-in-kerala/,,,,,,,,,,,,,,,,,17667,Keywords_Listing_ragini,10,,,Keywords_Listing_ragini
government commerce colleges in maharashtra,1,TOP SITE,06-12-2021,https://finance.careers360.com/colleges/list-of-government-commerce-colleges-in-maharashtra,3,https://collegedunia.com/commerce/maharashtra-colleges,,,4,https://www.shiksha.com/accounting-commerce/ranking/top-commerce-colleges-in-maharashtra/97-2-114-0-0,1,https://finance.careers360.com/colleges/list-of-government-commerce-colleges-in-maharashtra,5,https://www.collegedekho.com/commerce-banking/govt-colleges-in-maharashtra/,,,,,,,79,https://byjus.com/commerce/top-10-commerce-colleges-in-india/,,,26,https://www.embibe.com/indian-states/colleges-in-maharashtra/,,,,,17668,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
government commerce colleges in maharashtra,1,careers360.com,06-12-2021,https://finance.careers360.com/colleges/list-of-government-commerce-colleges-in-maharashtra,3,https://collegedunia.com/commerce/maharashtra-colleges,,,4,https://www.shiksha.com/accounting-commerce/ranking/top-commerce-colleges-in-maharashtra/97-2-114-0-0,1,https://finance.careers360.com/colleges/list-of-government-commerce-colleges-in-maharashtra,5,https://www.collegedekho.com/commerce-banking/govt-colleges-in-maharashtra/,,,,,,,79,https://byjus.com/commerce/top-10-commerce-colleges-in-india/,,,26,https://www.embibe.com/indian-states/colleges-in-maharashtra/,,,,,17668,Keywords_Listing_ragini,30,,,Keywords_Listing_ragini
private dental colleges in andhra pradesh,1,TOP SITE,06-12-2021,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-andhra-pradesh,3,https://collegedunia.com/dental/andhra-pradesh-colleges,,,4,https://www.shiksha.com/medicine-health-sciences/dental/colleges/colleges-andhra-pradesh,1,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-andhra-pradesh,8,https://www.collegedekho.com/dental/colleges-in-andhra-pradesh/,,,,,,,,,,,,,,,,,17670,Keywords_Listing_ragini,40,,,Keywords_Listing_ragini
private dental colleges in andhra pradesh,1,careers360.com,06-12-2021,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-andhra-pradesh,3,https://collegedunia.com/dental/andhra-pradesh-colleges,,,4,https://www.shiksha.com/medicine-health-sciences/dental/colleges/colleges-andhra-pradesh,1,https://medicine.careers360.com/colleges/list-of-bds-colleges-in-andhra-pradesh,8,https://www.collegedekho.com/dental/colleges-in-andhra-pradesh/,,,,,,,,,,,,,,,,,17670,Keywords_Listing_ragini,40,,,Keywords_Listing_ragini
