Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
one word substitution,1,byjus.com,02-12-2021,https://byjus.com/govt-exams/list-one-word-substitution-pdf/,,,34,https://prepp.in/news/e-514-one-word-substitution-quiz-for-ssc-cgl,,,,,,,,,1,https://byjus.com/govt-exams/list-one-word-substitution-pdf/,46,https://www.fresherslive.com/online-test/one-word-substitution-questions-and-answers,,,,,,,5775,Prepp,40500,General,,Prepp-C3
joinindianarmy nic in,1,TOP SITE,02-12-2021,https://joinindianarmy.nic.in/,,,30,https://prepp.in/news/e-485-military-nursing-service-mns-exam-date-2022-releasing-soon-joinindianarmy-nic-in-get-details-here,,,34,https://medicine.careers360.com/articles/indian-army-bsc-nursing-result,,,,,,,,,14,https://www.embibe.com/exams/join-indian-army/,,,,,5779,Prepp,74000,General,,Prepp-C3
cgl,1,TOP SITE,02-12-2021,https://ssc.nic.in/,,,17,https://prepp.in/ssc-cgl-exam/ssc-cgl-2022,12,https://www.shiksha.com/exams/ssc-cgl-exam,20,https://competition.careers360.com/articles/ssc-cgl-result,,,51,https://career.aglasem.com/ssc-cgl/,14,https://byjus.com/ssc-exams/ssc-cgl/,,,,,90,https://leverageedu.com/blog/ssc-cgl/,,,5780,Prepp,33100,General,,Prepp-C3
general knowledge,1,TOP SITE,02-12-2021,https://www.jagranjosh.com/general-knowledge,,,,,,,,,,,,,20,https://byjus.com/questions/gk-questions/,48,https://www.fresherslive.com/online-test/general-knowledge/questions-and-answers,,,22,https://leverageedu.com/blog/hi/gk-in-hindi/,,,5781,Prepp,33100,General,,Prepp-C3
uptet,1,TOP SITE,02-12-2021,https://updeled.gov.in/DefaultTET.aspx,,,,,21,https://www.shiksha.com/exams/uptet-exam,39,https://news.careers360.com/uptet-2021-exam-postponed-due-covid-19-check-details-here,,,20,https://hindi.aglasem.com/uptet/,,,,,,,,,,,5794,Prepp,40500,General,,Prepp-C3
jpsc online,1,TOP SITE,02-12-2021,https://www.jpsc.gov.in/?click=yes,,,17,https://prepp.in/jpsc-exam,,,48,https://competition.careers360.com/articles/jpsc-notification,,,22,https://career.aglasem.com/jpsc-civil-services-application-form/,19,https://byjus.com/free-ias-prep/jpsc-notification/,6,https://www.fresherslive.com/jpsc-jharkhand-public-service-commission-recruitment,,,,,,,5799,Prepp,27100,General,,Prepp-C3
csir nta,1,TOP SITE,02-12-2021,https://csirnet.nta.nic.in/,,,9,https://prepp.in/csir-ugc-net-exam,4,https://www.shiksha.com/exams/csir-net-exam,7,https://competition.careers360.com/articles/csir-ugc-net-application-form,35,https://www.collegedekho.com/exam/csir-ugc-net,36,https://career.aglasem.com/csir-ugc-net-admit-card/,,,,,10,https://www.embibe.com/exams/csir-net-notification/,,,57,https://exam.buddy4study.com/csir-net-exam-to-be-held-on-january,5801,Prepp,18100,General,,Prepp-C3
ktet,1,TOP SITE,02-12-2021,https://ktet.kerala.gov.in/,,,5,https://prepp.in/ktet-exam,2,https://www.shiksha.com/exams/ktet-exam,36,https://news.careers360.com/kerala-ktet-2021-notification-out-application-process-begin-from-april-28,,,13,https://career.aglasem.com/ktet/,,,,,45,https://www.embibe.com/exams/ktet/,73,https://leverageedu.com/blog/ktet/,,,5809,Prepp,33100,General,,Prepp-C3
oavs,1,TOP SITE,02-12-2021,https://www.oav.edu.in/,,,,,,,25,https://news.careers360.com/oavs-recruitment-2020-apply-for-737-principal-pgt-tgt-and-other-posts,,,12,https://schools.aglasem.com/120972/,,,44,https://www.fresherslive.com/education/oavs-admit-card-108435,,,,,,,5813,Prepp,33100,General,,Prepp-C3
crpf gov in,1,TOP SITE,02-12-2021,https://crpf.gov.in/,,,57,https://prepp.in/news/e-495-crpf-assistant-commandant-recruitment-2021-notice-out-crpfgovin-application-begins-from-june-30-check-direct-link-here,,,,,,,,,,,12,https://www.fresherslive.com/competitive-exams/crpf-admit-card-103750,,,,,,,5816,Prepp,18100,General,,Prepp-C3
peb mp gov in,1,TOP SITE,02-12-2021,http://peb.mp.gov.in/,,,,,18,https://www.shiksha.com/exams/mp-vyapam-exam,34,https://news.careers360.com/mp-tet-2020-new-exam-date-announced-pebmpgovin-check-details,,,45,https://admission.aglasem.com/tag/www-peb-mp-gov-in/,,,38,https://www.fresherslive.com/competitive-exams/mppeb-group-2-result-2021-to-be-released-at-peb-mp-gov-in-download-the-result-for-the-group-2-27-may-2021-112430,,,,,,,5818,Prepp,33100,General,,Prepp-C3
apsbcl,1,TOP SITE,02-12-2021,https://retail.apsbcl.ap.gov.in/,,,,,,,,,,,,,,,,,91,https://www.embibe.com/exams/apsbcl-recruitment/,,,,,5819,Prepp,60500,General,,Prepp-C3
pnbindia,1,TOP SITE,02-12-2021,https://www.pnbindia.in/,,,,,,,,,,,,,,,25,https://www.fresherslive.com/competitive-exams/pnb-peon-result-2021-to-be-released-at-pnbindia-in-download-the-result-for-the-peon-05-may-2021-111148,,,,,,,5820,Prepp,33100,General,,Prepp-C3
apset,1,TOP SITE,02-12-2021,https://apset.net.in/,,,15,https://prepp.in/apset-exam/exam-pattern,2,https://www.shiksha.com/exams/apset-exam,11,https://competition.careers360.com/articles/apset-result,18,https://www.collegedekho.com/exam/apset,17,https://career.aglasem.com/apset/,,,33,https://www.fresherslive.com/education/apset-result-108044,9,https://www.embibe.com/exams/apset/,,,,,5822,Prepp,27100,General,,Prepp-C3
wbpcb,1,TOP SITE,02-12-2021,https://www.wbpcb.gov.in/,,,18,https://prepp.in/news/wbpcb-admit-card-2020-21-for-jee-jea-clerk-and-other-posts-to-release-today-wbpcbgovin-check-the-details-here-alertid-32160,,,,,,,61,https://news.aglasem.com/wbpcb-recruitment-2020-for-48-vacancy/,,,3,https://www.fresherslive.com/competitive-exams/wbpcb-result-110009,,,,,,,5823,Prepp,33100,General,,Prepp-C3
join indian coast guard,1,TOP SITE,02-12-2021,https://joinindiancoastguard.gov.in/,,,15,https://prepp.in/indian-coast-guard-exam/news,11,https://www.shiksha.com/exams/indian-coast-guard-exam,76,https://news.careers360.com/indian-coast-guard-assistant-commandant-2022-registration-begins-apply-online-for-50-vacancies,,,,,,,48,https://www.fresherslive.com/indian-coast-guard-recruitment,,,,,,,5827,Prepp,33100,General,,Prepp-C3
reet,1,TOP SITE,02-12-2021,https://rajeduboard.rajasthan.gov.in/,,,32,https://prepp.in/rtet-exam,33,https://www.shiksha.com/exams/reet-exam,44,https://news.careers360.com/reet-2021-answer-key-be-out-soon-check-expected-cutoff-here,,,,,,,,,,,,,,,5830,Prepp,90500,General,,Prepp-C3
ssc cpo,1,TOP SITE,02-12-2021,https://ssc.nic.in/,,,7,https://prepp.in/ssc-cpo-exam,4,https://www.shiksha.com/exams/ssc-cpo-exam,12,https://competition.careers360.com/articles/ssc-cpo,,,23,https://career.aglasem.com/ssc-cpo/,2,https://byjus.com/ssc-exams/ssc-cpo/,,,15,https://www.embibe.com/exams/ssc-cpo-recruitment/,,,,,5833,Prepp,18100,General,,Prepp-C3
westbengalssc,1,TOP SITE,02-12-2021,http://www.westbengalssc.com/,,,15,https://prepp.in/news/e-923-wbssc-upper-primary-interview-list-out-westbengalssc-com,,,,,,,13,https://career.aglasem.com/wbssc-slst-result/,,,26,https://www.fresherslive.com/competitive-exams/wbssc-result-114594,,,,,,,5841,Prepp,49500,General,,Prepp-C3
ssc chsl apply online,1,TOP SITE,02-12-2021,https://ssc.nic.in/portal/apply,,,4,https://prepp.in/ssc-chsl-exam/application-process,6,https://www.shiksha.com/exams/ssc-chsl-exam-application-form,8,https://competition.careers360.com/articles/ssc-chsl-application-form,,,48,https://career.aglasem.com/ssc-chsl-2018-registration/,3,https://byjus.com/ssc-exams/ssc-chsl-apply-online/,,,15,https://www.embibe.com/exams/ssc-chsl-recruitment/,,,,,5842,Prepp,22200,General,,Prepp-C3
pstcl,1,TOP SITE,02-12-2021,https://www.pstcl.org/,56,https://collegedunia.com/news/e-60-pstcl-recruitment-through-gate-2017,18,https://prepp.in/news/e-505-pstcl-answer-key-2021released-for-alm-assa-ae-ldc-and-other-posts-pstclorg-download-link-here,,,,,,,84,https://career.aglasem.com/pstcl-recruitment/,,,22,https://www.fresherslive.com/competitive-exams/pstcl-result-109970,,,,,,,5847,Prepp,40500,General,,Prepp-C3
wbcsc,1,TOP SITE,02-12-2021,https://www.wbcsconline.in/,,,14,https://prepp.in/news/g-39195-wbcsc-set-2021-last-date-to-apply-is-september-15-2021,7,https://www.shiksha.com/exams/wb-set-exam,23,https://news.careers360.com/wbcsc-recruitment-2020-apply-for-92-manager-supervisor-other-posts-wwwwebcscorg,,,83,https://news.aglasem.com/wb-set-admit-card-2018-wbcsc/,,,6,https://www.fresherslive.com/wbcsc-west-bengal-college-service-commission-recruitment,,,,,,,5850,Prepp,33100,General,,Prepp-C3
anudeep durishetty,1,TOP SITE,02-12-2021,https://anudeepdurishetty.in/,64,https://images.static-collegedunia.com/public/image/31c243be3659206909293686f55625b5.pdf,32,https://prepp.in/news/e-492-ias-upsc-cse-2017-topper-anudeep-durishetty-strategy-to-ace-the-interview,,,,,,,,,6,https://byjus.com/free-ias-prep/meet-upsc-2017-topper-anudeep-durishetty/,,,,,,,,,5855,Prepp,27100,General,,Prepp-C3
kvic online,1,TOP SITE,02-12-2021,https://www.kviconline.gov.in/,,,69,https://prepp.in/news/kvic-recruitment-2020-apply-for-34-posts-wwwkvicgovin-alertid-29116,,,59,https://news.careers360.com/kvic-recruitment-2020-apply-for-34-posts-wwwkvicgovin,,,,,,,,,,,,,,,5857,Prepp,12100,General,,Prepp-C3
national defence academy,1,TOP SITE,02-12-2021,https://nda.nic.in/,,,26,https://prepp.in/news/e-485-life-at-the-national-defence-academy,11,https://www.shiksha.com/exams/nda-exam,65,https://www.careers360.com/colleges/national-defence-academy-pune,,,,,,,,,,,,,,,5858,Prepp,33100,General,,Prepp-C3
upsc optional subjects,1,TOP SITE,02-12-2021,https://www.careerlauncher.com/upsc/upsc-optional-subjects/,,,9,https://prepp.in/ias-exam-exam/optional-syllabus,53,https://www.shiksha.com/humanities-social-sciences/articles/most-popular-optional-subjects-for-civil-services-mains-exam-how-to-select-your-upsc-optional-subjects-blogId-16387,31,https://www.careers360.com/question-is-ias-exam-can-be-given-by-only-one-subjectieoptionalis-optional-subject-is-taken-on-the-basis-of-graduate-degree-or-any-one,,,,,2,https://byjus.com/free-ias-prep/how-many-optional-subjects-in-ias-mains/,,,6,https://www.embibe.com/exams/upsc-syllabus-ias/,,,,,5861,Prepp,22200,General,,Prepp-C3
uptet primary ka master,1,TOP SITE,02-12-2021,https://www.updatemarts.com/,,,29,https://prepp.in/uptet-exam/eligibility,,,,,32,https://www.collegedekho.com/exam/uptet/registration-eligibility,,,,,,,,,,,,,5864,Prepp,22200,General,,Prepp-C3
airmenselection cdac in login,1,TOP SITE,02-12-2021,https://airmenselection.cdac.in/,,,9,https://prepp.in/news/e-970-air-force-star-1-result-2021-soon-on-airmenselection-cdac-in-iaf-group-x-y-expected-cut-off-here,,,21,https://news.careers360.com/indian-air-force-releases-online-form-for-group-x-y-today-airmenselectioncdacin,,,7,https://career.aglasem.com/indian-air-force-airmen-admit-card/,,,46,https://www.fresherslive.com/articles/iaf-airmen-result,,,,,,,5865,Prepp,27100,General,,Prepp-C3
rcfl,1,TOP SITE,02-12-2021,https://www.rcfltd.com/hrrecruitment/recruitment-1,34,https://collegedunia.com/news/e-60-rcfl-recruitment-through-gate,,,,,,,,,,,,,5,https://www.fresherslive.com/rcf-rashtriya-chemicals-and-fertilizers-limited-recruitment,,,,,,,5866,Prepp,18100,General,,Prepp-C3
nainital bank,1,TOP SITE,02-12-2021,https://www.nainitalbank.co.in/,,,23,https://prepp.in/nainital-bank-exam,,,,,,,,,,,,,,,,,,,5870,Prepp,33100,General,,Prepp-C3
sssb punjab,1,TOP SITE,02-12-2021,https://sssb.punjab.gov.in/,,,34,https://prepp.in/news/e-812-psssb-jail-warder-answer-key-2021-released-sssbpunjabgovin-download-and-submit-objection,,,,,,,,,,,8,https://www.fresherslive.com/sssb-punjab-subordinate-services-selection-board-punjab-recruitment,,,,,,,5873,Prepp,74000,General,,Prepp-C3
railway ntpc,1,TOP SITE,02-12-2021,http://www.rrbcdg.gov.in/,,,18,https://prepp.in/rrb-ntpc-exam,4,https://www.shiksha.com/exams/rrb-ntpc-exam,,,,,63,https://hindi.aglasem.com/rrb-ntpc-recruitment-hindi/,34,https://byjus.com/rrb-exams/rrb-ntpc/,,,48,https://www.embibe.com/exams/rrb-ntpc/,,,,,5874,Prepp,18100,General,,Prepp-C3
ias question,1,TOP SITE,02-12-2021,https://www.upsc.gov.in/examinations/previous-question-papers,,,15,https://prepp.in/ias-exam-exam/practice-papers,43,https://www.shiksha.com/exams/ias-exam-question-papers,23,https://competition.careers360.com/articles/upsc-ias-question-papers,,,,,26,https://byjus.com/ias-questions/,,,,,,,,,5877,Prepp,18100,General,,Prepp-C3
