,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
2430,b des in product design,1,https://collegedunia.com/courses/bachelor-of-design-bdes-product-design,7,https://www.shiksha.com/b-des-bachelor-of-design-chp,6,https://www.careers360.com/courses/product-design-course,12,https://www.collegedekho.com/bdes-product_design-colleges-in-india/,,,,,,,,,,,60,https://leverageedu.com/blog/b-des/,,,4094,Courses,170,Course,,Courses
2431,b des in product design,1,https://collegedunia.com/courses/bachelor-of-design-bdes-product-design,8,https://www.shiksha.com/b-des-bachelor-of-design-chp,6,https://www.careers360.com/courses/product-design-course,10,https://www.collegedekho.com/courses/bdes-industrial-design/,,,,,,,,,,,60,https://leverageedu.com/blog/b-des/,,,4094,Courses,170,Course,,Courses
2432,b des in product design,1,https://collegedunia.com/courses/bachelor-of-design-bdes-product-design,8,https://www.shiksha.com/b-des-bachelor-of-design-chp,6,https://www.careers360.com/courses/product-design-course,11,https://www.collegedekho.com/courses/bdes-industrial-design/,,,,,,,,,,,60,https://leverageedu.com/blog/b-des/,,,4094,Courses,170,Course,,Courses
2433,b des in product design,1,https://collegedunia.com/courses/bachelor-of-design-bdes-product-design,8,https://www.shiksha.com/b-des-bachelor-of-design-chp,6,https://www.careers360.com/courses/product-design-course,12,https://www.collegedekho.com/bdes-product_design-colleges-in-india/,,,,,,,,,,,60,https://leverageedu.com/blog/b-des/,,,4094,Courses,170,Course,,Courses
2434,b des in product design,1,https://collegedunia.com/courses/bachelor-of-design-bdes-product-design,9,https://www.shiksha.com/college/the-design-village-noida-47045/course-b-des-in-product-design-361021,6,https://www.careers360.com/courses/product-design-course,10,https://www.collegedekho.com/courses/bdes-industrial-design/,,,,,,,,,,,60,https://leverageedu.com/blog/b-des/,,,4094,Courses,170,Course,,Courses
2435,b des in product design,1,https://collegedunia.com/courses/bachelor-of-design-bdes-product-design,9,https://www.shiksha.com/college/the-design-village-noida-47045/course-b-des-in-product-design-361021,6,https://www.careers360.com/courses/product-design-course,11,https://www.collegedekho.com/courses/bdes-industrial-design/,,,,,,,,,,,60,https://leverageedu.com/blog/b-des/,,,4094,Courses,170,Course,,Courses
2436,b des in product design,1,https://collegedunia.com/courses/bachelor-of-design-bdes-product-design,9,https://www.shiksha.com/college/the-design-village-noida-47045/course-b-des-in-product-design-361021,6,https://www.careers360.com/courses/product-design-course,12,https://www.collegedekho.com/bdes-product_design-colleges-in-india/,,,,,,,,,,,60,https://leverageedu.com/blog/b-des/,,,4094,Courses,170,Course,,Courses
2437,masters in health administration,1,"https://collegedunia.com/courses/master-of-health-administration-mha#:~:text=Master%20of%20Health%20Administration(MHA)%20is%20a%202%2Dyear,public%20health%20consulting%2C%20and%20infrastructure.",,,,,,,,,,,,,,,,,,,,,4095,Courses,1300,Course,,Courses
2438,diploma in operation management,1,https://collegedunia.com/courses/diploma-in-operation-management,50,https://www.shiksha.com/college/national-institute-of-management-and-research-studies-nimr-andheri-east-mumbai-101553/course-advance-diploma-in-operations-management-510275,24,https://www.careers360.com/courses/operations-management-course,15,https://www.collegedekho.com/courses/pgdm-operations-management/,,,,,,,,,,,,,,,4096,Courses,170,Course,,Courses
2439,diploma in logistic management,2,https://collegedunia.com/courses/diploma-in-logistic-management,24,https://www.shiksha.com/business-management-studies/transport-logistics-courses-chp,8,https://bschool.careers360.com/colleges/list-of-diploma-in-logistics-and-supply-chain-management-colleges-in-india,26,https://www.collegedekho.com/courses/pg-diploma-supply-chain-logistics-management/,,,,,,,,,87,https://www.embibe.com/exams/career-in-logistics-management/,,,,,4097,Courses,110,Course,,Courses
