,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
43,Saint Paul University,6,https://collegedunia.com/canada/college/53-saint-paul-university-ottawa,89,https://studyabroad.shiksha.com/usa/universities-in-saint-paul,79,https://www.careers360.com/colleges/st-paul-college-ulhasnagar,,,,,,,,,,,12701,Study_Abroad,720,College,,Study_Abroad-College-LS
44,University of Sherbrooke,5,https://collegedunia.com/canada/college/73-university-of-sherbrooke-sherbrooke,4,https://studyabroad.shiksha.com/canada/universities/universit-de-sherbrooke,,,,,,,,,,,,,12702,Study_Abroad,720,College,,Study_Abroad-College-LS
45,University of Potomac,3,https://collegedunia.com/usa/college/1910-university-of-potomac-washington,,,,,,,,,,,,,,,12703,Study_Abroad,720,College,,Study_Abroad-College-LS
46,Purdue University - Northwest,13,https://collegedunia.com/usa/college/1388-purdue-university---northwest-hammond,,,,,,,,,,,,,,,12704,Study_Abroad,720,College,,Study_Abroad-College-LS
47,Hawaii Pacific University,29,https://collegedunia.com/usa/college/1423-hawaii-pacific-university-honolulu/admission,3,https://studyabroad.shiksha.com/usa/universities/hawaii-pacific-university,,,15,https://www.collegedekho.com/usa/hawaii-pacific-university/,,,,,,,,,12705,Study_Abroad,720,College,,Study_Abroad-College-LS
48,California University of Pennsylvania,18,https://collegedunia.com/usa/college/1085-california-university-of-pennsylvania-california,3,https://studyabroad.shiksha.com/usa/universities/california-university-of-pennsylvania,,,,,,,,,,,,,12706,Study_Abroad,720,College,,Study_Abroad-College-LS
49,University of Houston - Downtown,4,https://collegedunia.com/usa/college/1427-university-of-houston---downtown-houston,24,https://studyabroad.shiksha.com/usa/universities/university-of-houston,,,,,,,,,,,,,12707,Study_Abroad,720,College,,Study_Abroad-College-LS
50,Midwestern State University,22,https://collegedunia.com/usa/college/2202-midwestern-state-university-wichita-falls,3,https://studyabroad.shiksha.com/usa/universities/midwestern-state-university,,,,,,,,,,,,,12708,Study_Abroad,720,College,,Study_Abroad-College-LS
51,Rockefeller University,6,https://collegedunia.com/usa/college/1726-rockefeller-university-new-york-city,17,https://studyabroad.shiksha.com/usa/universities/rockefeller-university,,,,,,,,,,,,,12709,Study_Abroad,720,College,,Study_Abroad-College-LS
52,Fitchburg State University,13,https://collegedunia.com/usa/college/1305-fitchburg-state-university-fitchburg,3,https://studyabroad.shiksha.com/usa/universities/fitchburg-state-university,,,,,,,,,,,,,12710,Study_Abroad,720,College,,Study_Abroad-College-LS
53,Tennessee Technological University,6,https://collegedunia.com/usa/college/1199-tennessee-technological-university-cookeville,3,https://studyabroad.shiksha.com/usa/universities/tennessee-technological-university,,,35,https://www.collegedekho.com/usa/tennessee-technological-university/,,,,,,,,,12711,Study_Abroad,720,College,,Study_Abroad-College-LS
54,Towson University,6,https://collegedunia.com/usa/college/2123-towson-university-towson,,,,,,,,,,,,,,,12712,Study_Abroad,720,College,,Study_Abroad-College-LS
55,Victoria University Australia,5,https://collegedunia.com/australia/college/610-victoria-university-melbourne,3,https://studyabroad.shiksha.com/australia/universities/victoria-university,,,22,https://www.collegedekho.com/australia/victoria-university/,,,,,,,,,12713,Study_Abroad,720,College,,Study_Abroad-College-LS
56,East Carolina University,18,https://collegedunia.com/usa/college/1378-east-carolina-university-greenville,4,https://studyabroad.shiksha.com/usa/universities/east-carolina-university,,,39,https://www.collegedekho.com/usa/east-carolina-university/,,,,,,,,,12714,Study_Abroad,720,College,,Study_Abroad-College-LS
57,Bucknell University,28,https://collegedunia.com/usa/college/1527-bucknell-university-lewisburg,7,https://studyabroad.shiksha.com/usa/universities/bucknell-university,,,,,,,,,,,,,12715,Study_Abroad,720,College,,Study_Abroad-College-LS
58,University of Missouri Columbia,15,https://collegedunia.com/usa/college/1184-university-of-missouri-columbia,4,https://studyabroad.shiksha.com/usa/universities/university-of-missouri,,,,,,,,,,,,,12716,Study_Abroad,720,College,,Study_Abroad-College-LS
59,Mercer University,10,https://collegedunia.com/usa/college/1579-mercer-university-macon,5,https://studyabroad.shiksha.com/usa/universities/mercer-university,,,31,https://www.collegedekho.com/usa/mercer-university/,,,,,,,,,12717,Study_Abroad,720,College,,Study_Abroad-College-LS
60,Ball State University,19,https://collegedunia.com/usa/college/1680-ball-state-university-muncie,4,https://studyabroad.shiksha.com/usa/universities/ball-state-university,,,26,https://www.collegedekho.com/usa/ball-state-university/,,,,,,,,,12718,Study_Abroad,720,College,,Study_Abroad-College-LS
61,Kean University,22,https://collegedunia.com/usa/college/2135-kean-university-union,3,https://studyabroad.shiksha.com/usa/universities/kean-university,,,,,,,,,,,,,12719,Study_Abroad,720,College,,Study_Abroad-College-LS
62,Drake University,24,https://collegedunia.com/usa/college/1246-drake-university-des-moines,5,https://studyabroad.shiksha.com/usa/universities/drake-university,,,,,,,,,,,,,12720,Study_Abroad,720,College,,Study_Abroad-College-LS
63,Fairfield University,13,https://collegedunia.com/usa/college/1297-fairfield-university-fairfield,4,https://studyabroad.shiksha.com/usa/universities/fairfield-university,,,,,,,,,,,,,12721,Study_Abroad,720,College,,Study_Abroad-College-LS
64,University of Hawaii at Manoa,11,https://collegedunia.com/usa/college/1421-university-of-hawaii-at-manoa-honolulu,5,https://studyabroad.shiksha.com/usa/universities/university-of-hawaii-at-manoa,,,43,https://www.collegedekho.com/ae/usa/university-of-hawaii-at-manoa/,,,,,,,,,12722,Study_Abroad,720,College,,Study_Abroad-College-LS
65,Biola University,10,https://collegedunia.com/usa/college/1499-biola-university-la-mirada,,,,,,,,,,,,,,,12723,Study_Abroad,720,College,,Study_Abroad-College-LS
66,University of Montana,22,https://collegedunia.com/usa/college/1651-university-of-montana-missoula,,,,,,,,,,,,,,,12724,Study_Abroad,720,College,,Study_Abroad-College-LS
67,Tennessee State University,30,https://collegedunia.com/usa/college/1688-tennessee-state-university-nashville,29,https://studyabroad.shiksha.com/usa/universities/middle-tennessee-state-university,,,,,,,,,,,,,12725,Study_Abroad,720,College,,Study_Abroad-College-LS
68,University of North Carolina Greensboro,20,https://collegedunia.com/usa/college/1371-university-of-north-carolina-greensboro-greensboro,6,https://studyabroad.shiksha.com/usa/universities/university-of-north-carolina-at-greensboro,,,51,https://www.collegedekho.com/usa/university-of-north-carolina-at-greensboro/,,,,,,,,,12726,Study_Abroad,720,College,,Study_Abroad-College-LS
69,University of North Carolina Greensboro,20,https://collegedunia.com/usa/college/1371-university-of-north-carolina-greensboro-greensboro,7,https://studyabroad.shiksha.com/usa/universities/university-of-north-carolina-at-greensboro,,,51,https://www.collegedekho.com/usa/university-of-north-carolina-at-greensboro/,,,,,,,,,12726,Study_Abroad,720,College,,Study_Abroad-College-LS
70,University of North Carolina Greensboro,20,https://collegedunia.com/usa/college/1371-university-of-north-carolina-greensboro-greensboro,8,https://studyabroad.shiksha.com/usa/universities/university-of-north-carolina-at-greensboro/master-of-science-in-computer-science,,,51,https://www.collegedekho.com/usa/university-of-north-carolina-at-greensboro/,,,,,,,,,12726,Study_Abroad,720,College,,Study_Abroad-College-LS
71,Regent University,18,https://collegedunia.com/usa/college/2155-regent-university-virginia-beach,13,https://studyabroad.shiksha.com/uk/universities/regent-s-university-london,,,49,https://www.collegedekho.com/united-kingdom/regents-university-london/,,,,,,,,,12727,Study_Abroad,720,College,,Study_Abroad-College-LS
72,Gallaudet University,8,https://collegedunia.com/usa/college/2167-gallaudet-university-washington,,,,,,,,,,,,,,,12728,Study_Abroad,720,College,,Study_Abroad-College-LS
73,Middle Tennessee State University,32,https://collegedunia.com/usa/college/1682-middle-tennessee-state-university-murfreesboro,4,https://studyabroad.shiksha.com/usa/universities/middle-tennessee-state-university,,,,,,,,,,,,,12729,Study_Abroad,720,College,,Study_Abroad-College-LS
74,Seattle Pacific University,8,https://collegedunia.com/usa/college/2025-seattle-pacific-university-seattle,5,https://studyabroad.shiksha.com/usa/universities/seattle-pacific-university,,,,,,,,,,,,,12730,Study_Abroad,720,College,,Study_Abroad-College-LS
75,Youngstown State University,17,https://collegedunia.com/usa/college/2234-youngstown-state-university-youngstown,3,https://studyabroad.shiksha.com/usa/universities/youngstown-state-university,,,,,,,,,,,,,12731,Study_Abroad,720,College,,Study_Abroad-College-LS
76,University of New Orleans,33,https://collegedunia.com/usa/college/1704-university-of-new-orleans-new-orleans,3,https://studyabroad.shiksha.com/usa/universities/university-of-new-orleans,,,,,,,,,,,,,12732,Study_Abroad,720,College,,Study_Abroad-College-LS
77,Western New England University,24,https://collegedunia.com/usa/college/2056-western-new-england-university-springfield,3,https://studyabroad.shiksha.com/usa/universities/western-new-england-university,,,,,,,,,,,,,12733,Study_Abroad,720,College,,Study_Abroad-College-LS
78,Franklin University,19,https://collegedunia.com/usa/college/1193-franklin-university-columbus,4,https://studyabroad.shiksha.com/usa/universities/franklin-university,,,50,https://www.collegedekho.com/usa/franklin-university/,,,,,,,,,12734,Study_Abroad,720,College,,Study_Abroad-College-LS
79,Indiana University of Pennsylvania,7,https://collegedunia.com/usa/college/1442-indiana-university-of-pennsylvania-indiana,3,https://studyabroad.shiksha.com/usa/universities/indiana-university-of-pennsylvania,,,,,,,,,,,,,12735,Study_Abroad,720,College,,Study_Abroad-College-LS
80,University of Nebraska Omaha,10,https://collegedunia.com/usa/college/1796-university-of-nebraska-omaha-omaha,4,https://studyabroad.shiksha.com/usa/universities/university-of-nebraska-omaha,,,35,https://www.collegedekho.com/usa/university-of-nebraska-omaha/,,,,,,,,,12736,Study_Abroad,720,College,,Study_Abroad-College-LS
81,Kettering University,16,https://collegedunia.com/usa/college/1309-kettering-university-flint,6,https://studyabroad.shiksha.com/usa/universities/kettering-university,,,,,,,,,31,https://leverageedu.com/universities/kettering-university,,,12737,Study_Abroad,720,College,,Study_Abroad-College-LS
