,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
10,slet exam,34,https://collegedunia.com/exams/set,41,https://prepp.in/jkset-exam,9,https://www.shiksha.com/bba/set-exam,17,https://competition.careers360.com/exams/neslet,56,https://www.collegedekho.com/exam/set/exam-pattern,23,https://career.aglasem.com/assam-slet/,,,30,https://www.fresherslive.com/education/assam-slet-exam-107962,,,61,https://leverageedu.com/blog/set-exam/,,,6967,Prepp,5400,Overview,,Prepp-C1
11,icar application form,13,https://collegedunia.com/exams/icar-aieea,,,10,https://www.shiksha.com/science/icar-aieea-exam-application-form,6,https://university.careers360.com/articles/icar-aieea-application-form,5,https://www.collegedekho.com/exam/icar-aieea/how-to-apply,18,https://admission.aglasem.com/aieea-ug/,,,22,https://www.fresherslive.com/education/icar-aieea-application-form-100740,46,https://www.embibe.com/exams/icar-aieea/,,,,,7003,Prepp,27100,Application,,Prepp-C1
12,icar application form,13,https://collegedunia.com/exams/icar-aieea,,,11,https://www.shiksha.com/science/icar-aieea-exam-application-form,6,https://university.careers360.com/articles/icar-aieea-application-form,5,https://www.collegedekho.com/exam/icar-aieea/how-to-apply,18,https://admission.aglasem.com/aieea-ug/,,,22,https://www.fresherslive.com/education/icar-aieea-application-form-100740,46,https://www.embibe.com/exams/icar-aieea/,,,,,7003,Prepp,27100,Application,,Prepp-C1
13,icar application form,13,https://collegedunia.com/exams/icar-aieea,,,12,https://www.shiksha.com/science/icar-aieea-exam,6,https://university.careers360.com/articles/icar-aieea-application-form,5,https://www.collegedekho.com/exam/icar-aieea/how-to-apply,18,https://admission.aglasem.com/aieea-ug/,,,22,https://www.fresherslive.com/education/icar-aieea-application-form-100740,46,https://www.embibe.com/exams/icar-aieea/,,,,,7003,Prepp,27100,Application,,Prepp-C1
14,icar exam date,9,https://collegedunia.com/exams/icar-aieea,,,1,https://www.shiksha.com/science/icar-aieea-exam-dates,6,https://university.careers360.com/articles/icar-aieea,4,https://www.collegedekho.com/exam/icar-aieea,13,https://admission.aglasem.com/aieea-ug/,,,49,https://www.fresherslive.com/education/icar-aieea,39,https://www.embibe.com/exams/icar-aieea/,91,https://leverageedu.com/blog/icar-aieea/,,,7032,Prepp,22200,Exam_Dates,,Prepp-C1
15,indian engineering services exam,30,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,3,https://prepp.in/ies-exam,5,https://www.shiksha.com/exams/ies-exam,39,https://competition.careers360.com/exams/upsc-ese,23,https://www.collegedekho.com/exam/upsc-ies-ese,76,https://career.aglasem.com/upsc-es/,22,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,50,https://www.embibe.com/exams/upsc-ese-notification/,72,https://leverageedu.com/blog/indian-engineering-services/,,,7159,Prepp,5400,Overview,,Prepp-C1
16,ies eligibility,83,https://collegedunia.com/college/13747-ies-college-of-technology-icot-bhopal/admission,1,"https://prepp.in/ies-exam/eligibility#:~:text=IES%20Age%20Limit%20Criteria%20states,later%20than%20January%2001%2C%201999.",5,https://www.shiksha.com/exams/ies-exam,35,https://competition.careers360.com/articles/upsc-ese-eligibility-criteria,22,https://www.collegedekho.com/articles/ies-iss-exam/,71,https://career.aglasem.com/upsc-ies-iss/,69,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,43,https://www.embibe.com/exams/upsc-ies-iss/,86,https://leverageedu.com/blog/ies-exam/,,,7552,Prepp,1600,Eligibility,,Prepp-C1
17,ies eligibility,83,https://collegedunia.com/college/13747-ies-college-of-technology-icot-bhopal/admission,2,"https://prepp.in/ies-exam/eligibility#:~:text=IES%20Age%20Limit%20Criteria%20states,later%20than%20January%2001%2C%201999.",5,https://www.shiksha.com/exams/ies-exam,35,https://competition.careers360.com/articles/upsc-ese-eligibility-criteria,22,https://www.collegedekho.com/articles/ies-iss-exam/,71,https://career.aglasem.com/upsc-ies-iss/,69,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,43,https://www.embibe.com/exams/upsc-ies-iss/,86,https://leverageedu.com/blog/ies-exam/,,,7552,Prepp,1600,Eligibility,,Prepp-C1
18,ies eligibility,83,https://collegedunia.com/college/13747-ies-college-of-technology-icot-bhopal/admission,4,https://prepp.in/ies-exam,5,https://www.shiksha.com/exams/ies-exam,35,https://competition.careers360.com/articles/upsc-ese-eligibility-criteria,22,https://www.collegedekho.com/articles/ies-iss-exam/,71,https://career.aglasem.com/upsc-ies-iss/,69,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,43,https://www.embibe.com/exams/upsc-ies-iss/,86,https://leverageedu.com/blog/ies-exam/,,,7552,Prepp,1600,Eligibility,,Prepp-C1
19,ese exam,26,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,6,https://prepp.in/ies-exam,9,https://www.shiksha.com/exams/ies-exam,15,https://competition.careers360.com/articles/upsc-ese,21,https://www.collegedekho.com/exam/upsc-ies-ese,64,https://career.aglasem.com/upsc-es/,,,,,27,https://www.embibe.com/exams/upsc-ese-notification/,,,,,7574,Prepp,4400,Overview,,Prepp-C1
20,ese exam,26,https://collegedunia.com/qna/question/5839-what-is-the-difference-between-ies-and-ese,7,https://prepp.in/ies-exam,9,https://www.shiksha.com/exams/ies-exam,15,https://competition.careers360.com/articles/upsc-ese,21,https://www.collegedekho.com/exam/upsc-ies-ese,64,https://career.aglasem.com/upsc-es/,,,,,27,https://www.embibe.com/exams/upsc-ese-notification/,,,,,7574,Prepp,4400,Overview,,Prepp-C1
21,bank exams eligibility,78,https://collegedunia.com/courses/banking/banking-courses-eligibility,7,https://prepp.in/ibps-po-exam/eligibility,10,https://www.shiksha.com/exams/ibps-exam,25,https://competition.careers360.com/articles/bank-exams,6,https://www.collegedekho.com/articles/upcoming-bank-exams/,,,4,https://byjus.com/bank-exam/bank-po/,,,60,https://www.embibe.com/exams/sbi-po-recruitment/,80,https://leverageedu.com/blog/career-in-banking/,96,https://exam.buddy4study.com/sbi-po-eligibility-criteria,7590,Prepp,4400,Eligibility,,Prepp-C1
