Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Construction Management Courses in Canada,1,TOP SITE,06-12-2021,https://www.idp.com/india/search/construction-management/postgraduate/canada/,3,https://collegedunia.com/canada/article/construction-management-courses-in-canada-top-colleges-admission-process-cost-scholarships-and-job-prospects,4,https://studyabroad.shiksha.com/top-10-construction-management-courses-in-canada-articlepage-1949,,,91,https://www.collegedekho.com/canada/universities-project-management/,,,,,,,14,https://leverageedu.com/blog/project-management-courses-in-canada/,,,14200,Study_Abroad,480,Course_Guide,,Study_Abroad-part_1
Masters in Malaysia,1,TOP SITE,06-12-2021,https://www.mastersportal.com/countries/123/malaysia.html,3,https://collegedunia.com/malaysia/article/masters-in-malaysia-top-colleges-admissions-fees-scholarships-scope,2,https://studyabroad.shiksha.com/malaysia/ms-colleges-dc,17,https://studyabroad.careers360.com/articles/masters-in-malaysia,,,,,,,,,,,45,https://admission.buddy4study.com/courses/malaysia/masters-pg-degree/law,14201,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
MBA in Malaysia,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/malaysia/mba-colleges-dc,3,https://collegedunia.com/malaysia/article/mba-in-malaysia-best-universities-eligibility-cost-scholarships-scope,1,https://studyabroad.shiksha.com/malaysia/mba-colleges-dc,80,https://www.careers360.com/question-is-gmat-must-to-get-into-mba-in-malaysia,,,,,,,,,,,,,14202,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
MBA in Malaysia,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/malaysia/mba-colleges-dc,3,https://collegedunia.com/malaysia/article/mba-in-malaysia-best-universities-eligibility-cost-scholarships-scope,1,https://studyabroad.shiksha.com/malaysia/mba-colleges-dc,80,https://www.careers360.com/question-is-gmat-must-to-get-into-mba-in-malaysia,,,,,,,,,,,,,14202,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
MS in Artificial Intelligence in USA,1,TOP SITE,06-12-2021,https://collegedunia.com/usa/article/ms-in-artificial-intelligence-in-usa-top-colleges-admissions-fees-funding-jobs,1,https://collegedunia.com/usa/article/ms-in-artificial-intelligence-in-usa-top-colleges-admissions-fees-funding-jobs,2,https://studyabroad.shiksha.com/usa/ms-in-artificial-intelligence-colleges-ds,,,,,,,,,,,,,,,14203,Study_Abroad,320,Course_Guide,,Study_Abroad-part_1
MS in Artificial Intelligence in USA,1,collegedunia.com,06-12-2021,https://collegedunia.com/usa/article/ms-in-artificial-intelligence-in-usa-top-colleges-admissions-fees-funding-jobs,1,https://collegedunia.com/usa/article/ms-in-artificial-intelligence-in-usa-top-colleges-admissions-fees-funding-jobs,2,https://studyabroad.shiksha.com/usa/ms-in-artificial-intelligence-colleges-ds,,,,,,,,,,,,,,,14203,Study_Abroad,320,Course_Guide,,Study_Abroad-part_1
BBA in USA,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/usa/bba-colleges-dc,2,https://collegedunia.com/usa/article/bba-in-usa-complete-admission-guide-for-international-students,1,https://studyabroad.shiksha.com/usa/bba-colleges-dc,61,https://medicine.careers360.com/hi/articles/how-to-become-doctor,,,,,,,,,,,,,14205,Study_Abroad,480,Course_Guide,,Study_Abroad-part_1
BBA in USA,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/usa/bba-colleges-dc,2,https://collegedunia.com/usa/article/bba-in-usa-complete-admission-guide-for-international-students,1,https://studyabroad.shiksha.com/usa/bba-colleges-dc,61,https://medicine.careers360.com/hi/articles/how-to-become-doctor,,,,,,,,,,,,,14205,Study_Abroad,480,Course_Guide,,Study_Abroad-part_1
Masters in artificial intelligence in Canada,1,TOP SITE,06-12-2021,https://collegedunia.com/canada/article/masters-in-artificial-intelligence-in-canada-top-universities-admission-process-cost-scholarships-and-job-prospects,1,https://collegedunia.com/canada/article/masters-in-artificial-intelligence-in-canada-top-universities-admission-process-cost-scholarships-and-job-prospects,8,https://studyabroad.shiksha.com/universities-offering-artificial-intelligence-course-in-canada-articlepage-2063,,,94,https://www.collegedekho.com/study-abroad/articles/top-master-of-data-science-universities-in-canada/,,,,,,,11,https://leverageedu.com/blog/artificial-intelligence-course-in-canada/,,,14206,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
Masters in artificial intelligence in Canada,1,collegedunia.com,06-12-2021,https://collegedunia.com/canada/article/masters-in-artificial-intelligence-in-canada-top-universities-admission-process-cost-scholarships-and-job-prospects,1,https://collegedunia.com/canada/article/masters-in-artificial-intelligence-in-canada-top-universities-admission-process-cost-scholarships-and-job-prospects,8,https://studyabroad.shiksha.com/universities-offering-artificial-intelligence-course-in-canada-articlepage-2063,,,94,https://www.collegedekho.com/study-abroad/articles/top-master-of-data-science-universities-in-canada/,,,,,,,11,https://leverageedu.com/blog/artificial-intelligence-course-in-canada/,,,14206,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
