Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
rbi office attendant,1,TOP SITE,06-12-2021,https://opportunities.rbi.org.in/Scripts/resultsnew.aspx,,,38,https://prepp.in/rbi-assistant-recruitment-exam/news,,,,,,,,,35,https://career.aglasem.com/rbi-office-attendant-result/,,,65,https://www.fresherslive.com/competitive-exams/rbi-office-attendant-result-2021-to-be-released-at-rbi-org-in-download-the-results-for-the-office-attendant-cut-off-marks-here-11-june-2021-113426,,,,,,,5763,Prepp,49500,General,,Prepp-C3
bpsc online,1,TOP SITE,06-12-2021,https://onlinebpsc.bihar.gov.in/,,,26,https://prepp.in/bpsc-exam/application-process,,,42,https://competition.careers360.com/articles/bpsc-application-form,,,,,,,69,https://byjus.com/free-ias-prep/bpsc-preparation/,70,https://www.fresherslive.com/bpsc-bihar-public-service-commission-recruitment,83,https://www.embibe.com/exams/bpsc-recruitment/,,,,,5766,Prepp,27100,General,,Prepp-C3
airmenselection,1,TOP SITE,06-12-2021,https://airmenselection.cdac.in/,,,9,https://prepp.in/news/e-970-air-force-star-1-result-2021-soon-on-airmenselection-cdac-in-iaf-group-x-y-expected-cut-off-here,,,60,https://news.careers360.com/indian-air-force-releases-online-form-for-group-x-y-today-airmenselectioncdacin,,,,,23,https://career.aglasem.com/indian-air-force-airmen/,,,68,https://www.fresherslive.com/articles/iaf-airmen-result,,,,,,,5767,Prepp,33100,General,,Prepp-C3
rajswasthya nic in,1,TOP SITE,06-12-2021,http://rajswasthya.nic.in/,,,,,,,12,https://news.careers360.com/nhm-rajasthan-recruitment-2020-apply-for-6310-posts-wwwrajswasthyanicin,,,,,,,,,38,https://www.fresherslive.com/competitive-exams/nhm-rajasthan-admit-card-107880,,,,,,,5768,Prepp,1300,General,,Prepp-C3
htet,1,TOP SITE,06-12-2021,https://haryanatet.in/,,,14,https://prepp.in/htet-exam,24,https://www.shiksha.com/exams/htet-exam,32,https://news.careers360.com/htet-application-form-2021-last-day-apply-at-haryanatetin,34,https://www.collegedekho.com/articles/htet-exam-dates-online-application-form-eligibility-syllabus/,,,38,https://hindi.aglasem.com/htet/,,,84,https://www.fresherslive.com/education/htet-exam,61,https://www.embibe.com/exams/htet/,73,https://leverageedu.com/blog/htet/,,,5769,Prepp,27100,General,,Prepp-C3
boi online,1,TOP SITE,06-12-2021,https://www.bankofindia.co.in/,,,,,,,,,,,,,,,,,,,,,,,,,5772,Prepp,27100,General,,Prepp-C3
india post gds,1,TOP SITE,06-12-2021,https://appost.in/gdsonline/home.aspx,,,8,https://prepp.in/india-post-gds-exam,,,,,,,,,,,,,45,https://www.fresherslive.com/india-post-recruitment,13,https://www.embibe.com/exams/india-post-recruitment/,,,,,5773,Prepp,49500,General,,Prepp-C3
rrbchennai,1,TOP SITE,06-12-2021,https://www.rrbchennai.gov.in/,,,5,https://prepp.in/rrb-recruitment-exam/rrb-chennai,21,https://www.shiksha.com/sarkari-exams/railway/articles/rrb-ntpc-chennai-result-blogId-70215,,,,,,,16,https://admission.aglasem.com/rrb-chennai-admit-card/,,,27,https://www.fresherslive.com/rrb-chennai-railway-recruitment-board-chennai-recruitment,4,https://www.embibe.com/exams/rrb-chennai/,94,https://leverageedu.com/blog/hi/tag/rrb-chennai/,,,5774,Prepp,301000,General,,Prepp-C3
one word substitution,1,TOP SITE,06-12-2021,https://byjus.com/govt-exams/list-one-word-substitution-pdf/,,,25,https://prepp.in/news/e-514-one-word-substitution-quiz-for-ssc-cgl,,,,,,,,,,,1,https://byjus.com/govt-exams/list-one-word-substitution-pdf/,,,,,,,,,5775,Prepp,40500,General,,Prepp-C3
one word substitution,1,byjus.com,06-12-2021,https://byjus.com/govt-exams/list-one-word-substitution-pdf/,,,25,https://prepp.in/news/e-514-one-word-substitution-quiz-for-ssc-cgl,,,,,,,,,,,1,https://byjus.com/govt-exams/list-one-word-substitution-pdf/,,,,,,,,,5775,Prepp,40500,General,,Prepp-C3
rrc wr,1,TOP SITE,06-12-2021,https://www.rrc-wr.com/,,,25,https://prepp.in/news/e-518-western-railway-apprentice-recruitment-2021-apply-for-3591-vacancies-at-rrc-wr-com,,,,,,,,,46,https://career.aglasem.com/rrc-wr-gdce-2019/,,,5,https://www.fresherslive.com/rrc-wr-western-railway-recruitment,,,,,,,5777,Prepp,33100,General,,Prepp-C3
joinindianarmy nic in,1,TOP SITE,06-12-2021,https://joinindianarmy.nic.in/,,,23,https://prepp.in/news/e-485-military-nursing-service-mns-exam-date-2022-releasing-soon-joinindianarmy-nic-in-get-details-here,,,33,https://medicine.careers360.com/articles/indian-army-bsc-nursing,,,,,86,https://hindi.aglasem.com/indian-army-jag-hindi/,,,45,https://www.fresherslive.com/articles/indian-army-admit-card,13,https://www.embibe.com/exams/join-indian-army/,,,,,5779,Prepp,74000,General,,Prepp-C3
general knowledge,1,TOP SITE,06-12-2021,https://www.jagranjosh.com/general-knowledge,,,,,,,,,,,,,,,42,https://byjus.com/questions/gk-questions/,36,https://www.fresherslive.com/online-test/general-knowledge/questions-and-answers,,,13,https://leverageedu.com/blog/hi/gk-in-hindi/,,,5781,Prepp,33100,General,,Prepp-C3
uptet,1,TOP SITE,06-12-2021,https://updeled.gov.in/DefaultTET.aspx,,,25,https://prepp.in/uptet-exam,22,https://www.shiksha.com/exams/uptet-exam,51,https://news.careers360.com/uptet-2021-exam-postponed-due-covid-19-check-details-here,29,https://www.collegedekho.com/exam/uptet,,,,,,,,,,,,,,,5794,Prepp,40500,General,,Prepp-C3
jpsc online,1,TOP SITE,06-12-2021,https://www.jpsc.gov.in/?click=yes,,,10,https://prepp.in/jpsc-exam,,,94,https://competition.careers360.com/articles/jpsc,,,,,27,https://career.aglasem.com/jpsc-civil-services-application-form/,16,https://byjus.com/free-ias-prep/jpsc-notification/,7,https://www.fresherslive.com/jpsc-jharkhand-public-service-commission-recruitment,54,https://www.embibe.com/exams/jpsc-recruitment/,,,,,5799,Prepp,27100,General,,Prepp-C3
csir nta,1,TOP SITE,06-12-2021,https://csirnet.nta.nic.in/,,,12,https://prepp.in/csir-ugc-net-exam,5,https://www.shiksha.com/exams/csir-net-exam,13,https://competition.careers360.com/articles/csir-ugc-net-application-form,51,https://www.collegedekho.com/exam/csir-ugc-net,,,43,https://career.aglasem.com/csir-ugc-net-admit-card/,,,,,33,https://www.embibe.com/exams/csir-net-notification/,,,59,https://exam.buddy4study.com/csir-net-exam-to-be-held-on-january,5801,Prepp,18100,General,,Prepp-C3
crpf gov in,1,TOP SITE,06-12-2021,https://crpf.gov.in/,,,,,,,75,https://news.careers360.com/crpf-recruitment-2020-apply-for-789-posts-crpfgovin,,,,,,,,,13,https://www.fresherslive.com/competitive-exams/crpf-admit-card-103750,72,https://www.embibe.com/exams/tag/crpf-gov-in/,,,,,5816,Prepp,18100,General,,Prepp-C3
peb mp gov in,1,TOP SITE,06-12-2021,http://peb.mp.gov.in/,,,38,https://prepp.in/news/e-864-mp-tet-2021-applications-reopens-from-december-14-2021-peb-mp-gov-in,32,https://www.shiksha.com/exams/mp-vyapam-exam,35,https://news.careers360.com/mp-tet-2020-new-exam-date-announced-pebmpgovin-check-details,,,,,49,https://admission.aglasem.com/tag/www-peb-mp-gov-in/,,,51,https://www.fresherslive.com/competitive-exams/mp-vyapam-result-109869,,,,,,,5818,Prepp,33100,General,,Prepp-C3
apsbcl,1,TOP SITE,06-12-2021,https://retail.apsbcl.ap.gov.in/,,,,,,,,,,,,,,,,,63,https://www.fresherslive.com/apsbcl-andhra-pradesh-state-beverages-corporation-limited-recruitment,59,https://www.embibe.com/exams/apsbcl-recruitment/,,,,,5819,Prepp,60500,General,,Prepp-C3
pnbindia,1,TOP SITE,06-12-2021,https://www.pnbindia.in/,,,,,,,,,,,,,,,,,29,https://www.fresherslive.com/competitive-exams/pnb-peon-result-2021-to-be-released-at-pnbindia-in-download-the-result-for-the-peon-05-may-2021-111148,,,,,,,5820,Prepp,33100,General,,Prepp-C3
apset,1,TOP SITE,06-12-2021,https://apset.net.in/,,,10,https://prepp.in/apset-exam/news,2,https://www.shiksha.com/exams/apset-exam,14,https://competition.careers360.com/articles/apset,15,https://www.collegedekho.com/exam/apset,,,19,https://career.aglasem.com/apset/,,,34,https://www.fresherslive.com/education/apset-result-108044,8,https://www.embibe.com/exams/apset/,,,,,5822,Prepp,27100,General,,Prepp-C3
wbpcb,1,TOP SITE,06-12-2021,https://www.wbpcb.gov.in/,,,19,https://prepp.in/news/wbpcb-admit-card-2020-21-for-jee-jea-clerk-and-other-posts-to-release-today-wbpcbgovin-check-the-details-here-alertid-32160,,,,,,,,,,,,,3,https://www.fresherslive.com/competitive-exams/wbpcb-result-110009,,,,,,,5823,Prepp,33100,General,,Prepp-C3
join indian coast guard,1,TOP SITE,06-12-2021,https://joinindiancoastguard.gov.in/,,,23,https://prepp.in/indian-coast-guard-exam,13,https://www.shiksha.com/exams/indian-coast-guard-exam,71,https://news.careers360.com/indian-coast-guard-assistant-commandant-2022-registration-begins-apply-online-for-50-vacancies,,,,,,,,,31,https://www.fresherslive.com/competitive-exams/indian-coast-guard-admit-card-104032,68,https://www.embibe.com/exams/indian-coast-guard-admit-card/,,,,,5827,Prepp,33100,General,,Prepp-C3
reet,1,TOP SITE,06-12-2021,https://rajeduboard.rajasthan.gov.in/,,,34,https://prepp.in/rtet-exam/results,37,https://www.shiksha.com/exams/reet-exam,57,https://competition.careers360.com/exams/reet,,,,,,,,,,,,,,,,,5830,Prepp,90500,General,,Prepp-C3
