Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
National University of Singapore fees,1,TOP SITE,06-12-2021,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore,3,https://collegedunia.com/singapore/college/767-national-university-of-singapore-singapore,,,1,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore,68,https://www.careers360.com/question-how-can-one-apply-for-national-university-of-singapore-nus-through-gate-score,17,https://www.collegedekho.com/singapore/national-university-of-singapore-institute-of-systems-science/,,,,,49,https://leverageedu.com/blog/ntu-vs-nus/,,,12700,Study_Abroad,720,College,,Study_Abroad-College-LS
National University of Singapore fees,1,shiksha.com,06-12-2021,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore,3,https://collegedunia.com/singapore/college/767-national-university-of-singapore-singapore,,,1,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore,68,https://www.careers360.com/question-how-can-one-apply-for-national-university-of-singapore-nus-through-gate-score,17,https://www.collegedekho.com/singapore/national-university-of-singapore-institute-of-systems-science/,,,,,49,https://leverageedu.com/blog/ntu-vs-nus/,,,12700,Study_Abroad,720,College,,Study_Abroad-College-LS
University of Potomac,1,TOP SITE,06-12-2021,https://potomac.edu/,4,https://collegedunia.com/usa/college/1910-university-of-potomac-washington,,,,,,,,,,,,,,,,,12703,Study_Abroad,720,College,,Study_Abroad-College-LS
Purdue University - Northwest,1,TOP SITE,06-12-2021,https://www.pnw.edu/,15,https://collegedunia.com/usa/college/1388-purdue-university---northwest-hammond,,,,,,,,,,,,,,,,,12704,Study_Abroad,720,College,,Study_Abroad-College-LS
Hawaii Pacific University,1,TOP SITE,06-12-2021,https://www.hpu.edu/,41,https://collegedunia.com/usa/college/1423-hawaii-pacific-university-honolulu,,,3,https://studyabroad.shiksha.com/usa/universities/hawaii-pacific-university,,,17,https://www.collegedekho.com/usa/hawaii-pacific-university/,,,,,,,,,12705,Study_Abroad,720,College,,Study_Abroad-College-LS
California University of Pennsylvania,1,TOP SITE,06-12-2021,https://www.calu.edu/,24,https://collegedunia.com/usa/college/1085-california-university-of-pennsylvania-california,,,3,https://studyabroad.shiksha.com/usa/universities/california-university-of-pennsylvania,,,,,,,,,,,,,12706,Study_Abroad,720,College,,Study_Abroad-College-LS
University of Houston - Downtown,1,TOP SITE,06-12-2021,https://www.uhd.edu/,3,https://collegedunia.com/usa/college/1427-university-of-houston---downtown-houston,,,19,https://studyabroad.shiksha.com/usa/universities/university-of-houston,,,,,,,,,,,,,12707,Study_Abroad,720,College,,Study_Abroad-College-LS
Midwestern State University,1,TOP SITE,06-12-2021,https://msutexas.edu/,20,https://collegedunia.com/usa/college/2202-midwestern-state-university-wichita-falls/admission,,,2,https://studyabroad.shiksha.com/usa/universities/midwestern-state-university,,,,,,,,,,,,,12708,Study_Abroad,720,College,,Study_Abroad-College-LS
Rockefeller University,1,TOP SITE,06-12-2021,https://www.rockefeller.edu/,13,https://collegedunia.com/usa/college/1726-rockefeller-university-new-york-city,,,20,https://studyabroad.shiksha.com/usa/universities/rockefeller-university,,,,,,,,,,,,,12709,Study_Abroad,720,College,,Study_Abroad-College-LS
Fitchburg State University,1,TOP SITE,06-12-2021,https://www.fitchburgstate.edu/,22,https://collegedunia.com/usa/college/1305-fitchburg-state-university-fitchburg,,,2,https://studyabroad.shiksha.com/usa/universities/fitchburg-state-university,,,,,,,,,,,,,12710,Study_Abroad,720,College,,Study_Abroad-College-LS
Tennessee Technological University,1,TOP SITE,06-12-2021,https://www.tntech.edu/,8,https://collegedunia.com/usa/college/1199-tennessee-technological-university-cookeville,,,2,https://studyabroad.shiksha.com/usa/universities/tennessee-technological-university,,,,,,,,,,,,,12711,Study_Abroad,720,College,,Study_Abroad-College-LS
Victoria University Australia,1,TOP SITE,06-12-2021,https://www.vu.edu.au/,4,https://collegedunia.com/australia/college/610-victoria-university-melbourne,,,2,https://studyabroad.shiksha.com/australia/universities/victoria-university,,,20,https://www.collegedekho.com/australia/victoria-university/,,,,,,,,,12713,Study_Abroad,720,College,,Study_Abroad-College-LS
East Carolina University,1,TOP SITE,06-12-2021,https://www.ecu.edu/,18,https://collegedunia.com/usa/college/1378-east-carolina-university-greenville/admission,,,3,https://studyabroad.shiksha.com/usa/universities/east-carolina-university,,,,,,,,,,,,,12714,Study_Abroad,720,College,,Study_Abroad-College-LS
