Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
nmims Bangalore placements,1,TOP SITE,06-12-2021,https://www.nmimsbengaluru.org/placement-report/,3,https://collegedunia.com/university/28986-narsee-monjee-institute-of-management-studies-nmims-university-bangalore/placement,,,2,https://www.shiksha.com/university/nmims-university-bangalore-54311/placement,10,https://www.careers360.com/colleges/narsee-monjee-institute-of-management-studies-bangalore/placement,7,https://www.collegedekho.com/colleges/placement-nmims-bangalore,,,,,,,,,,,,,,,5112,Placements,1300,Placement,,part2
iim bodh gaya placements,1,TOP SITE,06-12-2021,https://iimbg.ac.in/,,,,,2,https://www.shiksha.com/mba/articles/iim-bodh-gaya-placements-blogId-20851,9,https://bschool.careers360.com/articles/iim-bodh-gaya-placement-report-2020,7,https://www.collegedekho.com/colleges/placement-iim-bihar,22,https://jeemains.in/indian-institute-of-management-bodh-gaya-55937-about/,,,,,,,,,,,,,5113,Placements,1000,Placement,,part2
sastra university placements,1,TOP SITE,06-12-2021,https://collegedunia.com/university/25895-sastra-university-thanjavur/placement,1,https://collegedunia.com/university/25895-sastra-university-thanjavur/placement,,,2,https://www.shiksha.com/university/sastra-deemed-to-be-university-thanjavur-4075/placement,7,https://news.careers360.com/sastra-2021-placements-2300-job-offers-max-salary-of-rs-27-lpa,11,https://www.collegedekho.com/colleges/placement-sastra-university,,,,,,,,,8,https://www.embibe.com/exams/sastra-university-placement/,,,,,5114,Placements,720,Placement,,part2
sastra university placements,1,collegedunia.com,06-12-2021,https://collegedunia.com/university/25895-sastra-university-thanjavur/placement,1,https://collegedunia.com/university/25895-sastra-university-thanjavur/placement,,,2,https://www.shiksha.com/university/sastra-deemed-to-be-university-thanjavur-4075/placement,7,https://news.careers360.com/sastra-2021-placements-2300-job-offers-max-salary-of-rs-27-lpa,11,https://www.collegedekho.com/colleges/placement-sastra-university,,,,,,,,,8,https://www.embibe.com/exams/sastra-university-placement/,,,,,5114,Placements,720,Placement,,part2
Shiv Nadar University placements,1,TOP SITE,06-12-2021,https://snu.edu.in/career-development/placement-corporate,3,https://collegedunia.com/university/25973-shiv-nadar-university-snu-greater-noida/placement,,,4,https://www.shiksha.com/university/shiv-nadar-university-snu-greater-noida-32865/placement,7,https://www.careers360.com/university/shiv-nadar-university-greater-noida/placement,9,https://www.collegedekho.com/colleges/placement-shiv-nadar-university,,,19,https://colleges.aglasem.com/shiv-nadar-university-snu-greater-noida/placements,,,,,,,,,,,5117,Placements,720,Placement,,part2
iift kolkata placements,1,TOP SITE,06-12-2021,https://www.iift.ac.in/iift/docs/FinalPlacementReport2021.pdf,,,,,2,https://www.shiksha.com/college/indian-institute-of-foreign-trade-kolkata-54609/placement,8,https://bschool.careers360.com/articles/iift-mba-placements,5,https://www.collegedekho.com/colleges/placement-iift-kolkata,,,64,https://exams.aglasem.com/iift-postponed-2021-2022/,,,,,38,https://www.embibe.com/exams/iift-placement/,54,https://leverageedu.com/blog/iift-courses/,,,5118,Placements,880,Placement,,part2
iiit nagpur placements,1,TOP SITE,06-12-2021,https://iiitn.ac.in/,2,https://collegedunia.com/university/57974-indian-institute-of-information-technology-iiit-nagpur/placement,,,4,https://www.shiksha.com/college/iiit-nagpur-indian-institute-of-information-technology-maharashtra-53876,7,https://www.careers360.com/university/indian-institute-of-information-technology-nagpur/placement,9,https://www.collegedekho.com/colleges/placement-iiit-nagpur,15,https://jeemains.in/iiit-nagpur/,,,,,34,https://www.fresherslive.com/iiitn-indian-institute-of-information-technology-nagpur-recruitment,,,,,,,5122,Placements,880,Placement,,part2
iit bhilai placements,1,TOP SITE,06-12-2021,https://www.iitbhilai.ac.in/index.php?pid=placement,,,,,2,https://www.shiksha.com/college/indian-institute-of-technology-bhilai-53794/placement,4,https://www.careers360.com/university/indian-institute-of-technology-bhilai/placement,10,https://www.collegedekho.com/colleges/placement-iit-bhilai,13,https://jeemains.in/iit-bhilai-placements-report-and-summer-internship-programs/,,,,,,,,,,,,,5123,Placements,720,Placement,,part2
iit jammu placements,1,TOP SITE,06-12-2021,https://iitjammu.ac.in/cdc/cdc-placements-and-internships,2,https://collegedunia.com/college/57662-iit-jammu-indian-institute-of-technology-iitj-jammu/placement,,,3,https://www.shiksha.com/college/indian-institute-of-technology-jammu-53791/placement,7,https://www.careers360.com/university/indian-institute-of-technology-jammu/placement,10,https://www.collegedekho.com/colleges/placement-iit-jammu,8,https://jeemains.in/iit-jammu-placements-report-and-summer-internship-programs/,,,,,31,https://www.fresherslive.com/education/iit-jammu-cutoff-105227,,,,,,,5124,Placements,880,Placement,,part2
iit goa placements,1,TOP SITE,06-12-2021,https://www.iitgoa.ac.in/~placement/Placements.html,2,https://collegedunia.com/university/57671-iit-goa-indian-institute-of-technology-iitg-ponda/placement,,,3,https://www.shiksha.com/college/indian-institute-of-technology-goa-ponda-53787,7,https://www.careers360.com/university/indian-institute-of-technology-goa/placement,8,https://www.collegedekho.com/colleges/placement-iit-goa,27,https://jeemains.in/iit-goa/,,,9,https://byjus.com/jee/iit-goa/,,,31,https://www.embibe.com/exams/nit-goa-placements/,46,https://leverageedu.com/blog/iit-vs-nit/,,,5126,Placements,880,Placement,,part2
ubs chandigarh placements,1,TOP SITE,06-12-2021,https://collegedunia.com/college/19071-university-business-school-panjab-university-ubs-chandigarh/placement,1,https://collegedunia.com/college/19071-university-business-school-panjab-university-ubs-chandigarh/placement,,,4,https://www.shiksha.com/college/university-business-school-chandigarh-panjab-university-21440/placement,13,https://www.careers360.com/colleges/university-business-school-panjab-university-chandigarh/reviews,8,https://www.collegedekho.com/colleges/placement-ubs-chandigarh,,,,,,,,,,,,,,,5127,Placements,720,Placement,,part2
