,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
1049,BBA in Germany,1,https://collegedunia.com/germany/article/bba-in-germany-complete-course-guide,2,https://studyabroad.shiksha.com/germany/bachelors-of-business-colleges-cl,40,https://www.careers360.com/question-can-i-study-bba-in-germany,30,https://www.collegedekho.com/study-abroad/articles/study-bba-abroad-after-class-12/,,,,,,,71,https://leverageedu.com/blog/canada-vs-germany/,,,13978,Study_Abroad,390,Course_Guide,,Study_Abroad-part_1
1050,BBA in UK,4,https://collegedunia.com/uk/article/bba-in-uk-a-complete-course-guide,1,https://studyabroad.shiksha.com/uk/bba-colleges-dc,102,https://www.careers360.com/colleges/universal-business-school-raigad/bba-cardiff-met-uk-course,26,https://www.collegedekho.com/study-abroad/articles/study-bba-abroad-after-class-12/,,,,,,,99,https://leverageedu.com/blog/study-in-uk-for-indian-students-after-12th/,,,13979,Study_Abroad,390,Course_Guide,,Study_Abroad-part_1
1051,BBA in UK,4,https://collegedunia.com/uk/article/bba-in-uk-a-complete-course-guide,2,https://studyabroad.shiksha.com/uk/bba-colleges-dc,102,https://www.careers360.com/colleges/universal-business-school-raigad/bba-cardiff-met-uk-course,26,https://www.collegedekho.com/study-abroad/articles/study-bba-abroad-after-class-12/,,,,,,,99,https://leverageedu.com/blog/study-in-uk-for-indian-students-after-12th/,,,13979,Study_Abroad,390,Course_Guide,,Study_Abroad-part_1
1052,BBA in UK,4,https://collegedunia.com/uk/article/bba-in-uk-a-complete-course-guide,3,https://studyabroad.shiksha.com/uk/bba-colleges-dc-3,102,https://www.careers360.com/colleges/universal-business-school-raigad/bba-cardiff-met-uk-course,26,https://www.collegedekho.com/study-abroad/articles/study-bba-abroad-after-class-12/,,,,,,,99,https://leverageedu.com/blog/study-in-uk-for-indian-students-after-12th/,,,13979,Study_Abroad,390,Course_Guide,,Study_Abroad-part_1
1053,Masters in psychology in USA,6,https://collegedunia.com/usa/article/masters-in-psychology-in-the-us-rankings-specializations-deadlines-psycas-and-cost,7,https://studyabroad.shiksha.com/usa/ms-in-psychology-colleges-ds,,,89,https://www.collegedekho.com/usa/universities-master-of-science-in-psychology/,,,,,,,,,,,13980,Study_Abroad,320,Course_Guide,,Study_Abroad-part_1
1054,MSc Agriculture in Canada,1,https://collegedunia.com/canada/article/masters-in-agriculture-in-canada-a-complete-studyguide,4,https://studyabroad.shiksha.com/canada/ms-in-agriculture-colleges-ds,,,28,https://www.collegedekho.com/courses/msc-agriculture/,,,,,,,67,https://leverageedu.com/blog/msc-agriculture/,60,https://admission.buddy4study.com/course/canada-university-of-manitoba-winnipeg-1616/masters-degree-master-of-science-agribusiness-agricultural-economics-14229,13981,Study_Abroad,210,Course_Guide,,Study_Abroad-part_1
1055,Masters in economics in usa,1,https://collegedunia.com/usa/article/masters-in-economics,24,https://studyabroad.shiksha.com/usa/universities/the-city-college-of-new-york/ma-in-economics,,,,,,,,,,,82,https://leverageedu.com/blog/mba-vs-ma-economics/,,,13982,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
1056,Bachelors/BA in information technology in Australia,1,https://collegedunia.com/australia/article/bachelors-in-information-technology-in-australia-course-guide-for-international-students,25,https://studyabroad.shiksha.com/australia/universities/deakin-university/bachelor-of-information-technology,,,,,,,,,,,,,,,13983,Study_Abroad,90,Course_Guide,,Study_Abroad-part_1
1057,Masters in psychology in Germany,1,https://collegedunia.com/germany/article/masters-in-psychology-in-germany-an-overview,13,https://studyabroad.shiksha.com/germany/universities/free-university-of-berlin/masters-in-psychology,,,41,https://www.collegedekho.com/germany/universities-masters-in-psychology/,,,,,,,51,https://leverageedu.com/blog/best-countries-to-study-psychology/,,,13984,Study_Abroad,320,Course_Guide,,Study_Abroad-part_1
1058,MS in civil engineering in Germany,1,https://collegedunia.com/germany/article/ms-in-civil-engineering-in-germany-comprehensive-course-guide,4,https://studyabroad.shiksha.com/germany/ms-in-civil-engineering-colleges-ds,,,,,,,,,,,69,https://leverageedu.com/blog/ms-in-civil-engineering-in-canada/,,,13985,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
1059,Masters in business analytics in Germany,1,https://collegedunia.com/germany/article/masters-in-business-analytics-in-germany-a-detailed-course-guide,7,https://studyabroad.shiksha.com/germany/universities/humboldt-university-of-berlin/masters-in-business-analytics-predictive-modeling,,,,,,,,,,,,,,,13986,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
1060,Masters in computer science in UK,1,https://collegedunia.com/uk/article/masters-in-computer-science-in-uk-complete-guide-for-international-students,2,https://studyabroad.shiksha.com/uk/ms-in-computer-science-engineering-colleges-ds,,,,,,,,,,,31,https://leverageedu.com/blog/masters-in-computer-science-in-uk/,,,13987,Study_Abroad,720,Course_Guide,,Study_Abroad-part_1
1061,Masters in psychology in UK,1,https://collegedunia.com/uk/article/masters-in-psychology-in-uk-course-guide-for-international-students,,,,,,,,,,,,,47,https://leverageedu.com/blog/masters-in-psychology-in-uk/,,,13988,Study_Abroad,720,Course_Guide,,Study_Abroad-part_1
1062,MSc/masters in business analytics in UK,1,https://collegedunia.com/uk/article/masters-in-business-analytics-in-uk-course-guide-for-international-students,65,https://studyabroad.shiksha.com/uk/universities/imperial-college/msc-business-analytics,,,,,,,,,,,,,,,13989,Study_Abroad,480,Course_Guide,,Study_Abroad-part_1
