,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
20,haryana police previous year paper,49,https://images.static-collegedunia.com/public/image/1241e38d753b795809baf1a9b1e7bfe0.pdf,14,https://prepp.in/haryana-police-exam/practice-papers,,,,,,,,,,,,,93,https://www.embibe.com/exams/haryana-police-si-predicted-question-paper/,,,,,7195,Prepp,1900,Question_Paper,,Prepp-C2
21,iocl salary,35,https://collegedunia.com/qna/question/4373-what-is-the-starting-package-in-iocl-after-the-gate,1,https://prepp.in/iocl-recruitment-exam/salary,,,39,https://engineering.careers360.com/articles/iocl-recruitment-through-gate,52,https://www.collegedekho.com/articles/iocl-recruitment-through-gate/,,,,,58,https://www.fresherslive.com/iocl-indian-oil-corporation-limited-recruitment,,,,,,,7294,Prepp,1000,Salary,,Prepp-C2
22,BSPHCL recruitment,30,https://collegedunia.com/news/e-60-bspcl-psu-recruitment-through-gate,3,https://prepp.in/bsphcl-exam,,,52,https://www.careers360.com/question-can-we-expect-bsphcl-recruitment-through-gate-2020,,,,,,,17,https://www.fresherslive.com/bsphcl-bihar-state-power-holding-company-limited-recruitment,,,,,,,7331,Prepp,390,Recruitment,,Prepp-C2
23,UPSC Geoscientist Salary,63,https://collegedunia.com/courses/bachelor-of-science-bsc-geology/career-as-a-geologist,1,https://prepp.in/upsc-geo-scientist-exam/salary,,,3,https://competition.careers360.com/articles/upsc-geologist-salary,21,https://www.collegedekho.com/careers/geochemist,,,,,68,https://www.fresherslive.com/upsc-union-public-service-commission-recruitment,,,,,,,7410,Prepp,110,Salary,,Prepp-C2
24,hp police previous year question paper,8,https://images.static-collegedunia.com/public/image/0b48c2d5f435a96c861472d3f021dadd.pdf,4,https://prepp.in/hp-police-exam/practice-papers,,,,,,,,,,,,,,,,,,,7467,Prepp,260,Question_Paper,,Prepp-C2
25,ies officer salary,16,https://collegedunia.com/qna/question/4949-what-is-the-salary-of-an-ies-officer-in-the-indian-railways,1,https://prepp.in/ies-exam/salary,59,https://www.shiksha.com/exams/ies-exam,10,https://competition.careers360.com/articles/ese-salary,,,,,35,https://byjus.com/free-ias-prep/indian-engineering-services-versus-indian-civil-services/,,,2,https://www.embibe.com/exams/ies-salary/,,,,,7555,Prepp,3600,Salary,,Prepp-C2
26,civil engineering salary in india,16,https://collegedunia.com/courses/bachelor-of-technology-btech-civil-engineering/civil-engineer-salary,,,31,https://www.shiksha.com/b-tech/articles/career-in-civil-engineering-scope-courses-jobs-and-salary-blogId-23683,23,https://www.careers360.com/careers/civil-engineer,11,https://www.collegedekho.com/careers/civil-engineer,,,,,,,43,https://www.embibe.com/exams/ies-salary/,67,https://leverageedu.com/blog/best-engineering-courses-for-future/,,,7614,Prepp,5400,Salary,,Prepp-C2
27,public administration syllabus,57,https://collegedunia.com/courses/master-of-arts-ma-public-administration/syllabus,,,,,39,https://www.careers360.com/courses/public-administation-course,,,,,1,https://byjus.com/free-ias-prep/ias-public-administration-syllabus/,,,,,93,https://leverageedu.com/blog/public-administration-syllabus-for-upsc/,,,8219,Prepp,2900,Syllabus,,Prepp-C2
28,hpcl recruitment,32,https://collegedunia.com/news/e-60-hpcl-recruitment-through-gate,,,33,https://www.shiksha.com/engineering/articles/hpcl-recruitment-through-gate-2021-blogId-29005,,,86,https://www.collegedekho.com/articles/hpcl-recruitment-through-gate/,,,,,11,https://www.fresherslive.com/hpcl-hindustan-petroleum-corporation-limited-recruitment,,,,,,,8271,Prepp,27100,Recruitment,,Prepp-C2
29,psir syllabus,62,https://collegedunia.com/courses/phd-political-science,6,https://prepp.in/news/e-492-ias-upsc-cse-political-science-optional-syllabus,,,64,https://university.careers360.com/articles/jnu-syllabus,79,https://www.collegedekho.com/exam/jnuee/syllabus,,,1,https://byjus.com/free-ias-prep/ias-political-science-and-international-relations-syllabus/,,,,,,,,,8289,Prepp,2900,Syllabus,,Prepp-C2
30,ssc maths syllabus,84,https://collegedunia.com/exams/apbe/syllabus,23,https://prepp.in/ssc-chsl-exam/syllabus,25,https://www.shiksha.com/exams/ssc-gd-exam-syllabus,17,https://school.careers360.com/articles/maharashtra-board-ssc-syllabus,,,,,6,https://byjus.com/ssc-exams/ssc-exam-pattern/,,,44,https://www.embibe.com/exams/ssc-chsl-syllabus/,,,96,https://exam.buddy4study.com/ssc-chsl-syllabus,8371,Prepp,2900,Syllabus,,Prepp-C2
31,ssc maths syllabus,84,https://collegedunia.com/exams/apbe/syllabus,23,https://prepp.in/ssc-chsl-exam/syllabus,25,https://www.shiksha.com/exams/ssc-gd-exam-syllabus,17,https://school.careers360.com/articles/maharashtra-board-ssc-syllabus,,,,,7,https://byjus.com/ssc-exams/ssc-exam-pattern/,,,44,https://www.embibe.com/exams/ssc-chsl-syllabus/,,,96,https://exam.buddy4study.com/ssc-chsl-syllabus,8371,Prepp,2900,Syllabus,,Prepp-C2
32,ssc maths syllabus,84,https://collegedunia.com/exams/apbe/syllabus,23,https://prepp.in/ssc-chsl-exam/syllabus,25,https://www.shiksha.com/exams/ssc-gd-exam-syllabus,17,https://school.careers360.com/articles/maharashtra-board-ssc-syllabus,,,,,8,https://byjus.com/ssc-cgl-syllabus/,,,44,https://www.embibe.com/exams/ssc-chsl-syllabus/,,,96,https://exam.buddy4study.com/ssc-chsl-syllabus,8371,Prepp,2900,Syllabus,,Prepp-C2
33,indian air force pilot salary,36,https://collegedunia.com/courses/private-pilot-license/types-of-pilot,14,https://prepp.in/afcat-exam/salary,22,https://www.shiksha.com/exams/afcat-exam-salary,19,https://competition.careers360.com/articles/afcat-salary,13,https://www.collegedekho.com/careers/pilot,,,18,https://byjus.com/govt-exams/afcat-salary/,78,https://www.fresherslive.com/iaf-indian-air-force-recruitment,31,https://www.embibe.com/exams/join-indian-air-force/,41,https://leverageedu.com/blog/how-to-become-a-pilot-after-12th/,,,8374,Prepp,3600,Salary,,Prepp-C2
34,pet syllabus,13,https://collegedunia.com/exams/bhu-pet/exam-pattern,,,69,https://www.shiksha.com/engineering/articles/cg-pet-2021-syllabus-for-physics-chemistry-mathematics-pdf-download-blogId-53697,27,https://www.careers360.com/exams/bhu-pet,,,21,https://career.aglasem.com/upsssc-pet-syllabus/,,,52,https://www.fresherslive.com/competitive-exams/upsssc-pet-syllabus-2021-released-download-upsssc-pet-exam-pattern-at-upsssc-gov-in-21-june-2021-113957,,,,,,,8391,Prepp,27100,Syllabus,,Prepp-C2
35,gate syllabus for mechanical engineering,6,https://collegedunia.com/exams/gate/mechanical-engineering-syllabus,85,https://prepp.in/ies-exam/syllabus,,,2,https://engineering.careers360.com/articles/gate-syllabus-for-mechanical-engineering,17,https://www.collegedekho.com/exam/gate/syllabus,38,https://exams.aglasem.com/gate-2021-syllabus-for-mechanical-engineering/,,,44,https://www.fresherslive.com/education/gate-syllabus,11,https://www.embibe.com/exams/gate-syllabus-for-mechanical-engineering/,75,https://leverageedu.com/blog/gate-mechanical-engineering-syllabus/,82,https://exam.buddy4study.com/gate-syllabus,8432,Prepp,3600,Syllabus,,Prepp-C2
36,gate syllabus for mechanical engineering,6,https://collegedunia.com/exams/gate/mechanical-engineering-syllabus,85,https://prepp.in/ies-exam/syllabus,,,3,https://engineering.careers360.com/articles/gate-syllabus-for-mechanical-engineering,17,https://www.collegedekho.com/exam/gate/syllabus,38,https://exams.aglasem.com/gate-2021-syllabus-for-mechanical-engineering/,,,44,https://www.fresherslive.com/education/gate-syllabus,11,https://www.embibe.com/exams/gate-syllabus-for-mechanical-engineering/,75,https://leverageedu.com/blog/gate-mechanical-engineering-syllabus/,82,https://exam.buddy4study.com/gate-syllabus,8432,Prepp,3600,Syllabus,,Prepp-C2
37,gate syllabus for mechanical engineering,6,https://collegedunia.com/exams/gate/mechanical-engineering-syllabus,85,https://prepp.in/ies-exam/syllabus,,,4,https://engineering.careers360.com/articles/gate-syllabus,17,https://www.collegedekho.com/exam/gate/syllabus,38,https://exams.aglasem.com/gate-2021-syllabus-for-mechanical-engineering/,,,44,https://www.fresherslive.com/education/gate-syllabus,11,https://www.embibe.com/exams/gate-syllabus-for-mechanical-engineering/,75,https://leverageedu.com/blog/gate-mechanical-engineering-syllabus/,82,https://exam.buddy4study.com/gate-syllabus,8432,Prepp,3600,Syllabus,,Prepp-C2
38,assistant loco pilot salary,17,https://collegedunia.com/courses/diploma-in-electronics/loco-pilot-salary-in-india,1,https://prepp.in/rrb-alp-exam/salary,5,https://www.shiksha.com/exams/rrb-alp-exam-salary,13,https://www.careers360.com/careers/loco-pilot,12,https://www.collegedekho.com/careers/loco-pilot,,,3,https://byjus.com/rrb-exams/rrb-alp-salary/,,,11,https://www.embibe.com/exams/rrb-alp-salary/,39,https://leverageedu.com/blog/loco-pilot/,,,8507,Prepp,3600,Salary,,Prepp-C2
39,assistant loco pilot salary,17,https://collegedunia.com/courses/diploma-in-electronics/loco-pilot-salary-in-india,2,https://prepp.in/rrb-alp-exam/salary,5,https://www.shiksha.com/exams/rrb-alp-exam-salary,13,https://www.careers360.com/careers/loco-pilot,12,https://www.collegedekho.com/careers/loco-pilot,,,3,https://byjus.com/rrb-exams/rrb-alp-salary/,,,11,https://www.embibe.com/exams/rrb-alp-salary/,39,https://leverageedu.com/blog/loco-pilot/,,,8507,Prepp,3600,Salary,,Prepp-C2
40,psir optional syllabus,70,https://collegedunia.com/courses/bachelor-of-arts-ba-political-science/syllabus,4,https://prepp.in/news/e-492-ias-upsc-cse-political-science-optional-syllabus,,,55,https://competition.careers360.com/articles/upsc-political-science-syllabus,,,,,1,https://byjus.com/free-ias-prep/ias-political-science-and-international-relations-syllabus/,,,,,,,,,8719,Prepp,3600,Syllabus,,Prepp-C2
41,loco pilot salary in india,9,https://collegedunia.com/courses/diploma-in-electronics/loco-pilot-salary-in-india,6,https://prepp.in/rrb-alp-exam/salary,16,https://www.shiksha.com/exams/rrb-alp-exam-salary,7,https://www.careers360.com/careers/loco-pilot,11,https://www.collegedekho.com/careers/loco-pilot,,,14,https://byjus.com/rrb-exams/rrb-alp-salary/,101,https://www.fresherslive.com/south-eastern-railway-recruitment,29,https://www.embibe.com/exams/rrb-alp-salary/,27,https://leverageedu.com/blog/loco-pilot/,,,8821,Prepp,2900,Salary,,Prepp-C2
42,rites recruitment,28,https://collegedunia.com/news/e-60-rites-recruitment-through-gate-2017,10,https://prepp.in/rites-recruitment-exam,,,41,https://engineering.careers360.com/articles/rites-recruitment-through-gate,,,,,,,7,https://www.fresherslive.com/rites-limited-rail-india-technical-and-economic-service-recruitment,,,,,,,8888,Prepp,4400,Recruitment,,Prepp-C2
43,upsc syllabus,,,38,https://prepp.in/ias-exam-exam/exam-pattern,36,https://www.shiksha.com/exams/ias-exam-syllabus,20,https://competition.careers360.com/articles/upsc-ias-syllabus,,,,,6,https://byjus.com/ias/upsc-syllabus/,,,,,42,https://leverageedu.com/blog/hi/upsc-syllabus-in-hindi/,,,5585,Prepp,301000,Syllabus,,Prepp-C2
44,upsc syllabus,,,39,https://prepp.in/ias-exam-exam/exam-pattern,36,https://www.shiksha.com/exams/ias-exam-syllabus,20,https://competition.careers360.com/articles/upsc-ias-syllabus,,,,,6,https://byjus.com/ias/upsc-syllabus/,,,,,42,https://leverageedu.com/blog/hi/upsc-syllabus-in-hindi/,,,5585,Prepp,301000,Syllabus,,Prepp-C2
45,upsc syllabus,,,40,https://prepp.in/ias-exam-exam/prelims-syllabus,36,https://www.shiksha.com/exams/ias-exam-syllabus,20,https://competition.careers360.com/articles/upsc-ias-syllabus,,,,,6,https://byjus.com/ias/upsc-syllabus/,,,,,42,https://leverageedu.com/blog/hi/upsc-syllabus-in-hindi/,,,5585,Prepp,301000,Syllabus,,Prepp-C2
46,education recruitment board,,,48,https://prepp.in/news/e-812-punjab-ett-answer-key-2021-released-for-6635-posts-submit-objection-form-at-educationrecruitmentboardcom,,,,,,,,,,,72,https://www.fresherslive.com/competitive-exams/perb-lecturer-admit-card-2021-will-be-released-check-exam-date-hall-ticket-at-educationrecruitmentboard-com-09-june-2021-113289,,,,,,,5629,Prepp,165000,Recruitment,,Prepp-C2
47,ssc cgl syllabus,,,8,https://prepp.in/ssc-cgl-exam/syllabus,24,https://www.shiksha.com/exams/ssc-cgl-exam-syllabus,10,https://competition.careers360.com/articles/ssc-cgl-syllabus,79,https://www.collegedekho.com/exam/ssc-cgl/syllabus,,,5,https://byjus.com/ssc-cgl-syllabus/,,,17,https://www.embibe.com/exams/ssc-cgl-syllabus/,,,,,5641,Prepp,110000,Syllabus,,Prepp-C2
48,ias salary,,,5,https://prepp.in/ias-exam-exam/salary,10,https://www.shiksha.com/exams/ias-exam-salary,7,https://competition.careers360.com/articles/ias-salary,24,https://www.collegedekho.com/careers/ias-officer,,,2,https://byjus.com/free-ias-prep/ias-salary/,,,13,https://www.embibe.com/exams/upsc-ias-salary/,,,,,5644,Prepp,90500,Salary,,Prepp-C2
49,sbi cleark result,,,22,https://prepp.in/news/e-699-sbi-clerk-result-date-2021-check-details-here,7,https://www.shiksha.com/exams/sbi-clerk-exam-results,8,https://competition.careers360.com/articles/sbi-clerk-result,43,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,25,https://byjus.com/bank-exam/sbi-clerk-result/,38,https://www.fresherslive.com/competitive-exams/sbi-result-107618,15,https://www.embibe.com/exams/sbi-clerk-result/,,,75,https://exam.buddy4study.com/sbi-clerk-result,5647,Prepp,110000,Result,,Prepp-C2
50,sbi cleark result,,,22,https://prepp.in/news/e-699-sbi-clerk-result-date-2021-check-details-here,7,https://www.shiksha.com/exams/sbi-clerk-exam-results,9,https://competition.careers360.com/articles/sbi-clerk-result,43,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,25,https://byjus.com/bank-exam/sbi-clerk-result/,38,https://www.fresherslive.com/competitive-exams/sbi-result-107618,15,https://www.embibe.com/exams/sbi-clerk-result/,,,75,https://exam.buddy4study.com/sbi-clerk-result,5647,Prepp,110000,Result,,Prepp-C2
51,sbi cleark result,,,22,https://prepp.in/news/e-699-sbi-clerk-result-date-2021-check-details-here,7,https://www.shiksha.com/exams/sbi-clerk-exam-results,10,https://news.careers360.com/sbi-clerk-mains-result-2021-release-today-at-sbicoin-check-time-and-other-details-here,43,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,25,https://byjus.com/bank-exam/sbi-clerk-result/,38,https://www.fresherslive.com/competitive-exams/sbi-result-107618,15,https://www.embibe.com/exams/sbi-clerk-result/,,,75,https://exam.buddy4study.com/sbi-clerk-result,5647,Prepp,110000,Result,,Prepp-C2
52,sbi cleark result,,,23,https://prepp.in/news/e-699-sbi-clerk-result-date-2021-check-details-here,7,https://www.shiksha.com/exams/sbi-clerk-exam-results,8,https://competition.careers360.com/articles/sbi-clerk-result,43,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,25,https://byjus.com/bank-exam/sbi-clerk-result/,38,https://www.fresherslive.com/competitive-exams/sbi-result-107618,15,https://www.embibe.com/exams/sbi-clerk-result/,,,75,https://exam.buddy4study.com/sbi-clerk-result,5647,Prepp,110000,Result,,Prepp-C2
53,sbi cleark result,,,23,https://prepp.in/news/e-699-sbi-clerk-result-date-2021-check-details-here,7,https://www.shiksha.com/exams/sbi-clerk-exam-results,9,https://competition.careers360.com/articles/sbi-clerk-result,43,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,25,https://byjus.com/bank-exam/sbi-clerk-result/,38,https://www.fresherslive.com/competitive-exams/sbi-result-107618,15,https://www.embibe.com/exams/sbi-clerk-result/,,,75,https://exam.buddy4study.com/sbi-clerk-result,5647,Prepp,110000,Result,,Prepp-C2
54,sbi cleark result,,,23,https://prepp.in/news/e-699-sbi-clerk-result-date-2021-check-details-here,7,https://www.shiksha.com/exams/sbi-clerk-exam-results,10,https://news.careers360.com/sbi-clerk-mains-result-2021-release-today-at-sbicoin-check-time-and-other-details-here,43,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,25,https://byjus.com/bank-exam/sbi-clerk-result/,38,https://www.fresherslive.com/competitive-exams/sbi-result-107618,15,https://www.embibe.com/exams/sbi-clerk-result/,,,75,https://exam.buddy4study.com/sbi-clerk-result,5647,Prepp,110000,Result,,Prepp-C2
