,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
41,University Canada West,4,https://collegedunia.com/canada/college/8-university-canada-west-vancouver,3,https://studyabroad.shiksha.com/canada/universities/university-canada-west-1,,,30,https://www.collegedekho.com/canada/university-canada-west/,,,,,,,12144,Study_Abroad,22200,College,,Study_Abroad-College-HS
42,Northwest University,28,https://collegedunia.com/usa/college/1487-northwest-university-kirkland,,,,,,,,,,,,,12145,Study_Abroad,22200,College,,Study_Abroad-College-HS
43,Duke University,27,https://collegedunia.com/usa/college/1259-duke-university-durham,6,https://studyabroad.shiksha.com/usa/universities/duke-university,,,76,https://www.collegedekho.com/usa/duke-university/,,,,,,,12146,Study_Abroad,22200,College,,Study_Abroad-College-HS
44,Northwestern University,36,https://collegedunia.com/usa/college/1287-northwestern-university-evanston,8,https://studyabroad.shiksha.com/usa/universities/northwestern-university,,,54,https://www.collegedekho.com/usa/northwestern-university/,,,,,,,12147,Study_Abroad,22200,College,,Study_Abroad-College-HS
45,University of Florida,32,https://collegedunia.com/usa/college/1339-university-of-florida-gainesville,3,https://studyabroad.shiksha.com/usa/universities/university-of-florida,,,53,https://www.collegedekho.com/usa/university-of-florida/,,,,,,,12148,Study_Abroad,22200,College,,Study_Abroad-College-HS
46,Brown University,26,https://collegedunia.com/usa/college/1875-brown-university-providence,10,https://studyabroad.shiksha.com/usa/universities/brown-university,,,,,,,,,,,12149,Study_Abroad,22200,College,,Study_Abroad-College-HS
47,McMaster University,6,https://collegedunia.com/canada/college/40-mcmaster-university-hamilton,5,https://studyabroad.shiksha.com/canada/universities/mcmaster-university,,,,,,,,,,,12150,Study_Abroad,22200,College,,Study_Abroad-College-HS
48,Monash University,14,https://collegedunia.com/australia/college/606-monash-university-melbourne,5,https://studyabroad.shiksha.com/australia/universities/monash-university,,,25,https://www.collegedekho.com/australia/monash-university/,,,78,https://leverageedu.com/blog/monash-university-careers-courses-more/,,,12151,Study_Abroad,22200,College,,Study_Abroad-College-HS
49,Carleton University,5,https://collegedunia.com/canada/college/2-carleton-university-ottawa,3,https://studyabroad.shiksha.com/canada/universities/carleton-university,,,19,https://www.collegedekho.com/canada/carleton-university/,,,,,,,12152,Study_Abroad,22200,College,,Study_Abroad-College-HS
50,Ryerson University,4,https://collegedunia.com/canada/college/52-ryerson-university-toronto,3,https://studyabroad.shiksha.com/canada/universities/ryerson-university,,,19,https://www.collegedekho.com/canada/ryerson-university/,,,,,,,12153,Study_Abroad,22200,College,,Study_Abroad-College-HS
51,University of Manitoba,5,https://collegedunia.com/canada/college/90-university-of-manitoba-winnipeg,4,https://studyabroad.shiksha.com/canada/universities/university-of-manitoba,,,34,https://www.collegedekho.com/canada/university-of-manitoba/,,,,,,,12154,Study_Abroad,22200,College,,Study_Abroad-College-HS
52,University of Ottawa,5,https://collegedunia.com/canada/college/95-university-of-ottawa-ottawa,3,https://studyabroad.shiksha.com/canada/universities/university-of-ottawa,,,,,,,,,,,12155,Study_Abroad,22200,College,,Study_Abroad-College-HS
53,University of Bristol,11,https://collegedunia.com/uk/college/797-university-of-bristol-bristol,3,https://studyabroad.shiksha.com/uk/universities/university-of-bristol,,,27,https://www.collegedekho.com/united-kingdom/university-of-bristol/,,,30,https://leverageedu.com/universities/university-of-bristol,,,12156,Study_Abroad,22200,College,,Study_Abroad-College-HS
54,University of Warwick,7,https://collegedunia.com/uk/college/805-university-of-warwick-coventry,3,https://studyabroad.shiksha.com/uk/universities/university-of-warwick,,,,,,,,,,,12157,Study_Abroad,22200,College,,Study_Abroad-College-HS
55,Dalhousie University,6,https://collegedunia.com/canada/college/22-dalhousie-university-halifax,4,https://studyabroad.shiksha.com/canada/universities/dalhousie-university,,,29,https://www.collegedekho.com/canada/dalhousie-university/,,,,,,,12158,Study_Abroad,22200,College,,Study_Abroad-College-HS
56,University of Leicester,7,https://collegedunia.com/uk/college/827-university-of-leicester-leicester,5,https://studyabroad.shiksha.com/uk/universities/university-of-leicester,,,33,https://www.collegedekho.com/united-kingdom/university-of-leicester/,,,,,,,12159,Study_Abroad,22200,College,,Study_Abroad-College-HS
57,Stevens Institute of Technology,22,https://collegedunia.com/usa/college/1419-stevens-institute-of-technology-hoboken,5,https://studyabroad.shiksha.com/usa/universities/stevens-institute-of-technology,,,57,https://www.collegedekho.com/usa/stevens-institute-of-technology/,,,,,,,12160,Study_Abroad,18100,College,,Study_Abroad-College-HS
58,National University of Singapore,9,https://collegedunia.com/singapore/college/767-national-university-of-singapore-singapore,4,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore,,,79,https://www.collegedekho.com/singapore/national-university-of-singapore-institute-of-systems-science/,,,,,,,12161,Study_Abroad,18100,College,,Study_Abroad-College-HS
59,University of Sydney,16,https://collegedunia.com/australia/college/620-the-university-of-sydney-sydney,5,https://studyabroad.shiksha.com/australia/universities/the-university-of-sydney,,,96,https://www.collegedekho.com/australia/the-university-of-sydney/,,,,,,,12162,Study_Abroad,18100,College,,Study_Abroad-College-HS
60,University of Nottingham,17,https://collegedunia.com/uk/college/863-university-of-nottingham-nottingham,3,https://studyabroad.shiksha.com/uk/universities/university-of-nottingham,,,20,https://www.collegedekho.com/united-kingdom/university-of-nottingham/,,,,,,,12163,Study_Abroad,18100,College,,Study_Abroad-College-HS
61,University of Cincinnati,13,https://collegedunia.com/usa/college/1151-university-of-cincinnati-cincinnati,4,https://studyabroad.shiksha.com/usa/universities/university-of-cincinnati,,,,,,,,,,,12164,Study_Abroad,18100,College,,Study_Abroad-College-HS
62,Simon Fraser University,4,https://collegedunia.com/canada/college/54-simon-fraser-university-burnaby,3,https://studyabroad.shiksha.com/canada/universities/simon-fraser-university,,,,,,,,,,,12165,Study_Abroad,18100,College,,Study_Abroad-College-HS
63,University of Saskatchewan,5,https://collegedunia.com/canada/college/98-university-of-saskatchewan-saskatoon,3,https://studyabroad.shiksha.com/canada/universities/university-of-saskatchewan,,,,,,,,,,,12166,Study_Abroad,18100,College,,Study_Abroad-College-HS
64,Cardiff University,11,https://collegedunia.com/uk/college/802-cardiff-university-cardiff,3,https://studyabroad.shiksha.com/uk/universities/cardiff-university,,,,,,,,,,,12167,Study_Abroad,18100,College,,Study_Abroad-College-HS
65,University of Westminster,14,https://collegedunia.com/uk/college/851-university-of-westminster-london,3,https://studyabroad.shiksha.com/uk/universities/university-of-westminster,,,28,https://www.collegedekho.com/united-kingdom/university-of-westminster/,,,,,,,12168,Study_Abroad,18100,College,,Study_Abroad-College-HS
66,Northumbria University,14,https://collegedunia.com/uk/college/860-northumbria-university-newcastle-upon-tyne,6,https://studyabroad.shiksha.com/uk/universities/northumbria-university,,,,,,,,,,,12169,Study_Abroad,18100,College,,Study_Abroad-College-HS
