,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_jeemains.in,URL_jeemains.in,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
440,bba in airport management,2,https://collegedunia.com/courses/bachelor-of-business-administration-bba-airport-management,9,https://www.shiksha.com/college/national-college-of-aviation-egmore-chennai-35644/course-bba-in-airport-and-airline-management-160434,15,https://bschool.careers360.com/colleges/list-of-bba-in-aviation-management-colleges-in-india,1,https://www.collegedekho.com/courses/bba-airport-management/,,,,,,,,,,,72,https://leverageedu.com/blog/bba-in-airport-management/,,,3313,Courses,1900,Course,,Courses
441,bba in airport management,3,https://collegedunia.com/courses/bachelor-of-business-administration-bba-airport-management,9,https://www.shiksha.com/college/national-college-of-aviation-egmore-chennai-35644/course-bba-in-airport-and-airline-management-160434,15,https://bschool.careers360.com/colleges/list-of-bba-in-aviation-management-colleges-in-india,1,https://www.collegedekho.com/courses/bba-airport-management/,,,,,,,,,,,72,https://leverageedu.com/blog/bba-in-airport-management/,,,3313,Courses,1900,Course,,Courses
442,bba in airport management,4,https://collegedunia.com/courses/bachelor-of-business-administration-bba-aviation,9,https://www.shiksha.com/college/national-college-of-aviation-egmore-chennai-35644/course-bba-in-airport-and-airline-management-160434,15,https://bschool.careers360.com/colleges/list-of-bba-in-aviation-management-colleges-in-india,1,https://www.collegedekho.com/courses/bba-airport-management/,,,,,,,,,,,72,https://leverageedu.com/blog/bba-in-airport-management/,,,3313,Courses,1900,Course,,Courses
443,bsc interior design,1,https://collegedunia.com/courses/bachelor-of-science-bsc-interior-design,7,https://www.shiksha.com/design/interior-design/colleges/b-sc-colleges-india,51,https://www.careers360.com/courses/bid-bachelor-of-interior-design,2,https://www.collegedekho.com/courses/bsc-interior-design/,,,,,,,,,,,,,,,3314,Courses,3600,Course,,Courses
444,bsc interior design,1,https://collegedunia.com/courses/bachelor-of-science-bsc-interior-design,8,https://www.shiksha.com/design/interior-design/colleges/b-sc-colleges-india,51,https://www.careers360.com/courses/bid-bachelor-of-interior-design,2,https://www.collegedekho.com/courses/bsc-interior-design/,,,,,,,,,,,,,,,3314,Courses,3600,Course,,Courses
445,bsc interior design,1,https://collegedunia.com/courses/bachelor-of-science-bsc-interior-design,9,https://www.shiksha.com/design/interior-design/colleges/b-sc-colleges-bangalore,51,https://www.careers360.com/courses/bid-bachelor-of-interior-design,2,https://www.collegedekho.com/courses/bsc-interior-design/,,,,,,,,,,,,,,,3314,Courses,3600,Course,,Courses
446,mdes,2,https://collegedunia.com/courses/master-of-design-mdes,4,https://www.shiksha.com/m-des-chp,29,https://www.careers360.com/courses/m-des-master-of-design,10,https://www.collegedekho.com/courses/master-of-design-mdes/,,,,,,,,,,,58,https://leverageedu.com/blog/mdes-in-canada/,,,3315,Courses,1900,Course,,Courses
447,PGDBF,1,https://collegedunia.com/courses/post-graduate-diploma-in-banking-and-finance-pgdbf,26,https://www.shiksha.com/college/st-aloysius-institute-of-management-and-information-technology-aimit-mangalore-461/course-post-graduate-diploma-in-banking-and-finance-pgdbf-358459,,,,,,,,,,,,,,,,,,,3316,Courses,1000,Course,,Courses
448,diploma in printing technology,1,https://collegedunia.com/courses/diploma-in-printing-technology,11,https://www.shiksha.com/college/delhi-skill-and-entrepreneurship-university-pusa-campus-pusa-road-97271/course-diploma-in-printing-technology-504225,3,https://engineering.careers360.com/colleges/list-of-diploma-in-printing-technology-colleges-in-india,72,https://www.collegedekho.com/diploma-printing-colleges-in-maharashtra/,,,,,,,,,,,,,,,3317,Courses,480,Course,,Courses
449,diploma in printing technology,1,https://collegedunia.com/courses/diploma-in-printing-technology,11,https://www.shiksha.com/college/delhi-skill-and-entrepreneurship-university-pusa-campus-pusa-road-97271/course-diploma-in-printing-technology-504225,4,https://engineering.careers360.com/colleges/list-of-diploma-in-printing-technology-colleges-in-india,72,https://www.collegedekho.com/diploma-printing-colleges-in-maharashtra/,,,,,,,,,,,,,,,3317,Courses,480,Course,,Courses
