,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_byjus.com,URL_byjus.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
653,sbi clerk result,,,24,https://prepp.in/sbi-clerk-exam,7,https://www.shiksha.com/exams/sbi-clerk-exam,14,https://competition.careers360.com/articles/sbi-clerk-result,32,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,16,https://byjus.com/bank-exam/sbi-clerk-result/,,,45,https://www.embibe.com/exams/sbi-clerk-result/,,,73,https://exam.buddy4study.com/sbi-clerk-result,7119,Prepp,110000,Result,,Prepp-C2
654,sbi clerk result,,,24,https://prepp.in/sbi-clerk-exam,7,https://www.shiksha.com/exams/sbi-clerk-exam,15,https://news.careers360.com/sbi-clerk-mains-result-2021-know-when-and-where-check,32,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,16,https://byjus.com/bank-exam/sbi-clerk-result/,,,45,https://www.embibe.com/exams/sbi-clerk-result/,,,73,https://exam.buddy4study.com/sbi-clerk-result,7119,Prepp,110000,Result,,Prepp-C2
655,sbi clerk result,,,24,https://prepp.in/sbi-clerk-exam,8,https://www.shiksha.com/exams/sbi-clerk-exam-results,13,https://competition.careers360.com/articles/sbi-clerk-result,32,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,16,https://byjus.com/bank-exam/sbi-clerk-result/,,,45,https://www.embibe.com/exams/sbi-clerk-result/,,,73,https://exam.buddy4study.com/sbi-clerk-result,7119,Prepp,110000,Result,,Prepp-C2
656,sbi clerk result,,,24,https://prepp.in/sbi-clerk-exam,8,https://www.shiksha.com/exams/sbi-clerk-exam-results,14,https://competition.careers360.com/articles/sbi-clerk-result,32,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,16,https://byjus.com/bank-exam/sbi-clerk-result/,,,45,https://www.embibe.com/exams/sbi-clerk-result/,,,73,https://exam.buddy4study.com/sbi-clerk-result,7119,Prepp,110000,Result,,Prepp-C2
657,sbi clerk result,,,24,https://prepp.in/sbi-clerk-exam,8,https://www.shiksha.com/exams/sbi-clerk-exam-results,15,https://news.careers360.com/sbi-clerk-mains-result-2021-know-when-and-where-check,32,https://www.collegedekho.com/exam/sbi-clerk/cut-off-results,,,16,https://byjus.com/bank-exam/sbi-clerk-result/,,,45,https://www.embibe.com/exams/sbi-clerk-result/,,,73,https://exam.buddy4study.com/sbi-clerk-result,7119,Prepp,110000,Result,,Prepp-C2
658,hssc recruitment,,,47,https://prepp.in/haryana-police-exam,,,,,,,55,https://career.aglasem.com/hssc-recruitment/,,,13,https://www.fresherslive.com/hssc-haryana-staff-selection-commission-recruitment,16,https://www.embibe.com/exams/hssc-recruitment/,,,,,7123,Prepp,4400,Recruitment,,Prepp-C2
659,tamil nadu police recruitment,,,22,https://prepp.in/tnusrb-exam,77,https://www.shiksha.com/exams/tnusrb-si-exam,,,,,,,,,12,https://www.fresherslive.com/tnusrb-tamilnadu-uniformed-services-recruitment-board-recruitment,,,,,,,7136,Prepp,1900,Recruitment,,Prepp-C2
660,licindia recruitment,,,48,https://prepp.in/lic-ado-exam,30,https://www.shiksha.com/exams/lic-aao-exam,,,,,,,,,7,https://www.fresherslive.com/lic-life-insurance-corporation-of-india-recruitment,63,https://www.embibe.com/exams/lic-assistant-notification/,,,,,7139,Prepp,5400,Recruitment,,Prepp-C2
661,h p board dharamshala result 10 2,,,84,https://prepp.in/hptet-exam,15,https://www.shiksha.com/boards/hpbose-12th-board-results,7,https://school.careers360.com/articles/hp-board-12th-result,,,13,https://schools.aglasem.com/22340,92,https://byjus.com/,65,https://www.fresherslive.com/education/hpbose-10th-result-101516,52,https://www.embibe.com/exams/hpbose-12-result/,,,,,7141,Prepp,140,Result,,Prepp-C2
662,rrc group d syllabus,,,19,https://prepp.in/rrb-group-d-exam,3,https://www.shiksha.com/exams/rrb-group-d-exam-syllabus,71,https://competition.careers360.com/articles/rrb-group-d-syllabus,,,66,https://admission.aglasem.com/rrb-group-d-2020-preparation-exam-pattern-syllabus-time-question/,,,,,8,https://www.embibe.com/exams/rrc-group-d-syllabus/,,,,,7144,Prepp,27100,Syllabus,,Prepp-C2
