college_id,Financial Times,CUWR,QS World,US NEWS Global,THE,International Business
1247,0,292,477,327,501,501
1200,0,215,291,236,301,201
1553,0,1290,0,1163,0,0
1922,0,75,166,140,201,151
1430,0,126,0,132,0,0
1637,0,1148,0,1221,601,601
901,0,0,0,0,0,0
1901,0,663,0,792,0,0
1314,0,1386,0,877,501,601
1527,0,883,0,0,0,0
1930,0,909,601,822,401,0
1867,0,1345,751,1167,0,0
2210,0,1557,0,0,601,0
1907,0,0,0,0,0,0
1773,0,1036,601,0,0,0
1057,0,1020,801,1035,0,0
1054,55,494,454,595,176,78
1072,0,0,0,0,0,0
1824,0,0,0,0,0,0
1682,0,0,0,0,0,0
936,0,745,801,689,501,601
881,0,390,751,297,0,0
1346,0,0,0,0,0,0
1970,0,426,0,383,0,0
1195,0,626,801,543,0,0
1316,0,0,0,0,0,0
1569,0,455,0,499,0,0
1996,0,1289,0,1467,0,0
2132,0,469,801,419,501,301
926,0,0,0,0,0,0
1224,0,1101,0,0,0,0
1650,0,698,0,864,501,301
2045,0,0,0,0,0,0
976,0,1572,0,0,601,0
1401,0,1320,0,1432,0,0
1480,0,1801,0,0,0,0
1680,0,1393,0,1070,0,0
1024,0,720,651,445,0,0
1775,0,1427,0,0,0,0
1436,0,99,0,0,0,0
1018,0,1647,0,0,0,0
1715,0,1994,561,0,251,0
1408,0,1157,0,1054,601,0
1614,0,926,0,1022,501,501
1394,0,1622,0,0,501,601
1693,0,0,0,0,0,0
1796,0,0,0,0,0,0
2088,0,563,0,0,0,0
1759,0,819,0,873,401,301
2121,0,801,0,956,601,601
1971,0,1509,0,0,0,0
1632,0,786,0,0,0,0
1017,0,1254,0,1250,0,0
1134,0,1385,0,1390,0,0
1985,0,1457,0,0,0,0
1925,0,1176,0,1195,601,0
2083,0,1932,801,0,0,0
1716,0,0,0,0,0,0
1074,0,0,0,0,0,0
1133,0,495,0,467,301,0
1447,0,0,0,0,0,0
1676,0,1481,0,1262,0,0
1441,0,1960,0,0,0,0
1767,0,0,0,0,0,0
1297,0,1391,0,0,0,0
2055,0,0,0,0,0,0
1545,0,1068,0,971,0,0
1438,0,1594,0,0,0,0
1540,0,1628,0,0,0,0
2123,0,1728,0,0,0,0
1652,0,1312,0,1405,0,0
1013,0,0,0,0,0,0
2188,0,0,0,0,0,0
1149,0,0,0,0,0,0
1120,0,0,0,0,0,0
1356,0,0,0,0,0,0
2235,0,0,0,0,0,0
1579,0,0,0,0,0,0
2208,0,1355,0,0,0,0
1843,0,1840,0,0,0,0
2048,0,0,0,0,0,0
2077,0,1559,0,1448,0,0
972,0,0,0,0,0,0
910,0,403,0,0,0,0
1657,0,1510,0,928,0,0
950,0,702,0,850,0,0
1182,0,1907,0,0,0,0
1414,0,0,0,0,0,0
2182,0,1686,0,0,0,0
1155,0,1475,0,0,0,0
1211,0,0,0,0,0,0
2024,0,0,0,0,0,0
1361,0,0,0,0,0,0
1466,0,0,0,0,0,0
2104,0,1817,0,0,801,0
2054,0,0,0,0,0,0
1554,0,0,0,0,0,0
1101,0,0,0,0,0,0
2181,46,993,0,0,0,0
1226,0,1842,0,0,0,0
2001,0,0,0,0,0,0
1717,0,0,0,0,0,0
1402,0,575,0,0,0,0
1870,0,0,0,0,0,0
1458,0,1953,0,0,0,0
1351,0,1636,0,0,0,0
2145,0,0,0,0,0,0
1390,0,1286,0,0,0,0
2234,0,0,0,0,0,0
1694,0,0,0,0,0,0
2191,0,1081,0,0,0,0
2175,0,0,0,0,0,0
1159,0,0,0,0,0,0
1199,0,0,0,0,0,0
1630,0,0,0,0,0,0
1132,0,0,0,0,0,0
2043,0,0,0,0,0,0
1345,0,0,0,0,0,0
1360,0,0,0,0,0,0
1188,0,0,0,0,0,0
1949,0,0,0,0,0,0
1884,0,0,0,0,0,0
2056,0,0,0,0,0,0
1972,0,0,0,0,0,0
1088,99,0,0,0,0,0
1280,0,0,0,0,0,0
1465,0,0,0,0,0,0
1853,0,1662,0,0,0,0
1653,0,0,0,0,0,0
2166,0,1213,0,1038,0,0
1790,0,0,0,0,0,0
1189,0,0,0,0,0,0
1588,0,0,0,0,0,0
1675,0,0,0,0,0,0
1635,0,0,0,0,0,0
1002,0,184,0,155,401,601
2078,0,0,0,0,0,0
2118,0,0,0,0,0,0
1494,0,0,0,0,0,0
1898,0,0,0,0,0,0
1481,0,0,0,0,0,0
1476,0,0,0,0,0,0
1258,0,0,0,0,0,0
915,0,1818,0,0,0,0
2220,0,0,0,0,0,0
1664,0,0,0,0,0,0
1817,0,0,0,0,0,0
999,0,0,0,0,0,0
1543,0,0,0,0,0,0
1086,0,0,0,0,0,0
1237,0,1492,0,0,0,0
1623,0,0,0,0,0,0
1084,0,0,0,0,0,0
1052,0,0,0,0,0,0
2161,0,0,0,0,0,0
1445,0,0,0,0,0,0
1916,0,1053,0,0,0,0
1944,0,0,0,0,0,0
1368,0,0,0,0,0,0
1950,0,0,0,0,0,0
1959,0,0,0,0,0,0
1420,0,0,0,0,0,0
2014,0,0,0,0,0,0
2020,0,0,0,0,0,0
1336,0,0,0,0,0,0
1718,0,958,0,970,0,0
1341,0,0,0,0,0,0
1004,0,0,0,0,0,0
1825,0,0,0,0,0,0
1601,0,0,0,0,0,0
1876,0,0,0,0,0,0
1808,0,0,0,0,0,0
1405,0,0,0,0,0,0
1397,0,0,0,0,0,0
1958,0,0,0,0,0,0
1505,0,0,0,0,0,0
2023,0,0,0,0,0,0
1427,0,0,0,0,0,0
2028,0,0,0,0,0,0
1386,0,890,0,0,0,0
1176,0,0,0,0,0,0
2036,0,0,0,0,0,0
1446,0,0,0,0,0,0
1196,0,0,0,0,0,0
977,0,0,0,0,0,0
1451,0,0,0,0,0,0
1282,0,0,0,0,0,0
1365,0,0,0,0,0,0
1334,0,1133,0,494,0,0
903,0,0,0,0,0,0
1354,0,0,0,0,0,0
1208,0,0,0,0,0,0
2097,0,0,0,0,0,0
2051,0,0,0,0,0,0
1112,0,1606,0,1470,0,0
1510,0,1739,0,0,0,0
1620,0,852,0,693,251,0
2216,0,0,0,0,0,0
1618,0,0,0,0,0,0
1489,0,0,0,0,0,0
1442,0,0,0,0,0,0
1668,0,0,0,0,0,0
1152,0,1826,0,0,0,0
1913,0,0,0,0,0,0
1555,0,1627,0,0,0,0
1406,0,0,0,0,0,0
1071,0,0,0,0,0,0
1197,0,0,0,0,0,0
1231,0,0,0,0,0,0
954,0,0,0,0,0,0
1735,0,0,0,0,0,0
1349,0,0,0,0,0,0
1218,0,0,0,0,0,0
1581,0,1750,0,0,0,0
1158,0,918,0,0,0,0
1381,0,1379,0,0,0,0
1246,0,0,0,0,0,0
1264,0,1961,0,0,0,0
1289,0,0,0,0,0,0
1315,0,0,0,0,0,0
2160,0,0,0,0,0,0
1888,0,0,0,0,0,0
1568,0,0,0,0,0,0
2197,0,0,0,0,0,0
1097,0,0,0,0,0,0
1567,0,0,0,0,0,0
1348,0,0,0,0,0,0
1645,0,47,177,47,57,35
1385,0,0,0,0,0,0
1909,0,0,0,0,0,0
1929,0,1906,0,0,0,0
2063,0,0,0,0,0,0
1350,0,1949,0,0,0,0
1692,0,0,0,0,0,0
2058,0,0,0,0,0,0
1960,0,0,0,0,0,0
1547,0,0,0,0,0,0
1707,0,0,0,0,0,0
1755,0,0,0,0,0,0
1181,0,0,0,0,0,0
1323,0,0,0,0,0,0
1329,0,0,0,0,0,0
1366,0,0,0,0,0,0
1701,0,0,0,0,0,0
1254,0,0,0,0,0,0
1636,0,0,0,0,0,0
1257,0,0,0,0,0,0
1265,0,0,0,0,0,0
997,0,0,0,0,0,0
1040,0,0,0,0,0,0
1029,0,0,0,0,0,0
2183,0,0,0,0,0,0
1045,0,0,0,0,0,0
1091,0,0,0,0,0,0
2229,0,0,0,0,0,0
1305,0,0,0,0,0,0
1031,0,0,0,0,0,0
1398,0,0,0,0,0,0
2195,0,0,0,0,0,0
1204,0,0,0,0,0,0
961,0,0,0,0,1001,0
2059,0,0,0,0,0,0
1609,0,0,0,0,0,0
1570,0,0,0,0,0,0
1075,0,0,0,0,0,0
1736,0,1333,0,0,0,0
1661,0,0,0,0,0,0
2140,0,0,0,0,0,0
1083,0,0,0,0,0,0
1583,0,0,0,0,0,0
2137,0,0,0,0,0,0
1268,0,0,0,0,0,0
1859,0,1971,0,0,0,0
1248,0,0,0,0,0,0
1417,0,1946,0,0,0,0
1670,0,0,0,0,0,0
2136,0,0,0,0,0,0
1893,0,1770,0,0,0,0
924,0,1670,0,0,0,0
1174,0,1703,0,0,0,0
1869,0,0,0,0,0,0
2155,0,0,0,0,0,0
2158,0,0,0,0,0,0
2147,0,0,0,0,0,0
1228,0,0,0,0,0,0
1640,0,0,0,0,0,0
2025,0,0,0,0,0,0
1820,0,0,0,0,0,0
988,0,0,0,0,0,0
1533,0,1580,0,0,0,0
2080,0,0,0,0,0,0
1055,0,0,0,0,0,0
2098,0,0,0,0,0,0
1331,0,0,0,0,0,0
1116,0,0,0,0,0,0
1606,0,0,0,0,0,0
1872,0,0,0,0,0,0
1094,0,1989,0,0,0,0
1432,0,0,0,0,0,0
1437,0,0,0,0,0,0
897,0,0,0,0,0,0
1926,0,0,0,0,0,0
1708,0,0,0,0,0,0
1370,0,0,0,0,0,0
1011,0,0,0,0,0,0
2189,0,0,0,0,0,0
2178,0,0,0,0,0,0
968,0,0,0,0,0,0
1754,0,0,0,0,0,0
898,0,0,0,0,0,0
1575,0,0,0,0,0,0
1486,0,0,0,0,0,0
1095,0,0,0,0,0,0
1871,0,0,0,0,0,0
962,0,0,0,0,0,0
1382,0,0,0,0,0,0
2131,0,0,0,0,0,0
2107,0,0,0,0,0,0
1495,0,0,0,0,0,0
884,0,0,0,0,0,0
1277,0,0,0,0,0,0
1868,0,0,0,0,0,0
1965,0,0,0,0,0,0
1684,0,0,0,0,0,0
1236,0,0,0,0,0,0
2037,0,0,0,0,0,0
1266,0,0,0,0,0,0
1194,0,0,0,0,0,0
1128,0,0,0,0,0,0
1372,0,0,0,0,0,0
1902,0,0,0,0,0,0
931,0,0,0,0,0,0
2093,0,708,0,1462,0,0
1369,0,0,0,0,0,0
1532,0,0,0,0,0,0
1433,0,0,0,0,0,0
1589,0,878,0,0,0,0
1615,0,0,0,0,0,0
1937,0,1752,0,0,0,0
2004,0,0,0,0,0,0
1499,0,0,0,0,0,0
1789,0,0,0,0,0,0
1303,0,0,0,0,0,0
1918,0,0,0,0,0,0
1100,0,0,0,0,0,0
1878,0,0,0,0,0,0
1179,0,0,0,0,0,0
1627,0,0,0,0,0,0
2194,0,0,0,0,0,0
1163,0,0,0,0,0,0
1389,0,0,0,0,0,0
1283,0,0,0,0,0,0
1137,0,0,0,0,0,0
1229,0,0,0,0,0,0
1799,0,0,0,0,0,0
1110,0,368,0,414,0,0
1828,0,0,0,0,0,0
1608,0,0,0,0,0,0
2015,0,0,0,0,0,0
1885,0,0,0,0,0,0
1056,0,0,0,0,0,0
1278,0,0,0,0,0,0
953,0,0,0,0,0,0
1879,0,0,0,0,0,0
1332,0,0,0,0,0,0
1296,0,0,0,0,0,0
1482,0,0,0,0,0,0
1539,0,0,0,0,0,0
2052,0,0,0,0,0,0
2072,0,0,0,0,0,0
2209,0,0,0,0,0,0
2076,0,0,0,0,0,0
1851,0,0,0,0,0,0
2089,0,0,0,0,0,0
933,0,0,0,0,0,0
1330,0,0,0,0,0,0
1919,0,0,0,0,0,0
1591,0,0,0,0,0,0
2204,0,0,0,0,0,0
1322,0,0,0,0,0,0
1852,0,0,0,0,0,0
2217,0,0,0,0,0,0
1274,0,0,0,0,0,0
980,0,0,0,0,0,0
948,0,0,0,0,0,0
1836,0,0,0,0,0,0
1479,0,0,0,0,0,0
1953,0,0,0,0,0,0
1780,0,0,0,0,0,0
1963,0,0,0,0,0,0
2053,0,0,0,0,0,0
2214,0,0,0,0,0,0
2035,0,0,0,0,0,0
1219,0,0,0,0,0,0
2065,0,1855,0,0,0,0
2224,0,0,0,0,0,0
923,0,0,0,0,0,0
1677,0,0,0,0,0,0
1423,0,0,0,0,0,0
1932,0,0,0,0,0,0
1529,0,0,0,0,0,0
1951,0,0,0,0,0,0
1103,0,0,0,0,0,0
2200,0,0,0,0,0,0
1263,0,0,0,0,0,0
1413,0,0,0,0,0,0
1267,0,0,0,0,0,0
1173,0,0,0,0,0,0
1724,0,0,0,0,0,0
1014,0,0,0,0,0,0
1751,0,0,0,0,0,0
1457,0,0,0,0,0,0
1866,0,0,0,0,0,0
1079,0,0,0,0,0,0
909,0,0,0,0,0,0
1209,0,0,0,0,0,0
1912,0,0,0,0,0,0
935,0,0,0,0,0,0
2021,0,0,0,0,0,0
994,0,0,0,0,0,0
1598,0,0,0,0,0,0
964,0,0,0,0,0,0
1667,0,0,0,0,0,0
1418,0,0,0,0,0,0
1507,0,0,0,0,0,0
1138,0,0,0,0,0,0
1698,0,0,0,0,0,0
1954,0,0,0,0,0,0
2041,0,0,0,0,0,0
1269,0,0,0,0,0,0
919,0,0,0,0,0,0
1301,0,0,0,0,0,0
1648,0,0,0,0,0,0
2039,0,0,0,0,0,0
1169,0,0,0,0,0,0
1379,0,0,0,0,0,0
1989,0,0,0,0,0,0
957,0,0,0,0,0,0
2017,0,0,0,0,0,0
1816,0,0,0,0,0,0
1801,0,0,0,0,0,0
1599,0,0,0,0,0,0
2153,0,0,0,0,0,0
1814,0,0,0,0,0,0
951,0,0,0,0,0,0
1463,0,0,0,0,0,0
1164,0,0,0,0,0,0
1162,0,0,0,0,0,0
1792,0,0,0,0,0,0
1340,0,0,0,0,0,0
1634,0,0,0,0,0,0
1537,0,0,0,0,0,0
1662,0,0,0,0,0,0
1113,0,0,0,0,0,0
2095,0,0,0,0,0,0
1503,0,0,0,0,0,0
1541,0,0,0,0,0,0
1914,0,0,0,0,0,0
1383,0,0,0,0,0,0
947,0,0,0,0,0,0
2130,0,0,0,0,0,0
1005,0,0,0,0,0,0
1455,0,0,0,0,0,0
2012,0,0,0,0,0,0
929,0,0,0,0,0,0
1731,0,1974,0,0,0,0
1504,0,0,0,0,0,0
2206,0,0,0,0,0,0
1802,0,0,0,0,0,0
1593,0,0,0,0,0,0
2060,0,0,0,0,0,0
1046,0,0,0,0,0,0
1941,0,0,0,0,0,0
1311,0,0,0,0,0,0
2215,0,0,0,0,0,0
979,0,0,0,0,0,0
1973,0,0,0,0,0,0
1512,0,0,0,0,0,0
981,0,0,0,0,0,0
1890,0,0,0,0,0,0
1114,0,0,0,0,0,0
2179,0,0,0,0,0,0
1896,0,0,0,0,0,0
1125,0,0,0,0,0,0
1509,0,0,0,0,0,0
2061,0,0,0,0,0,0
1500,0,0,0,0,0,0
1243,0,0,0,0,0,0
2177,0,0,0,0,0,0
1617,0,0,0,0,0,0
891,0,0,0,0,0,0
1844,0,0,0,0,0,0
1838,0,0,0,0,0,0
989,0,0,0,0,0,0
1610,0,0,0,0,0,0
1649,0,0,0,0,0,0
965,0,0,0,0,0,0
1967,0,0,0,0,0,0
1374,0,0,0,0,0,0
1923,0,0,0,0,0,0
1685,0,0,0,0,0,0
1395,0,0,0,0,0,0
1082,0,0,0,0,0,0
2069,0,0,0,0,0,0
2143,0,0,0,0,0,0
1409,0,0,0,0,0,0
1304,0,0,0,0,0,0
1947,0,0,0,0,0,0
1384,0,0,0,0,0,0
1576,0,0,0,0,0,0
1762,0,0,0,0,0,0
1924,0,0,0,0,0,0
2034,0,0,0,0,0,0
1938,0,0,0,0,0,0
1190,0,0,0,0,0,0
2038,0,0,0,0,0,0
2190,0,0,0,0,0,0
1768,0,0,0,0,0,0
2013,0,0,0,0,0,0
1324,0,0,0,0,0,0
1220,0,0,0,0,0,0
1213,0,0,0,0,0,0
1496,0,0,0,0,0,0
1942,0,0,0,0,0,0
1979,0,0,0,0,0,0
1251,0,0,0,0,0,0
1939,0,0,0,0,0,0
1284,0,0,0,0,0,0
1191,0,0,0,0,0,0
1706,0,0,0,0,0,0
1335,0,0,0,0,0,0
1358,0,0,0,0,0,0
1531,0,0,0,0,0,0
2192,0,0,0,0,0,0
1837,0,0,0,0,0,0
2233,0,0,0,0,0,0
2079,0,0,0,0,0,0
1519,0,0,0,0,0,0
1373,0,0,0,0,0,0
1778,0,0,0,0,0,0
1791,0,0,0,0,0,0
1915,0,0,0,0,0,0
1641,0,0,0,0,0,0
916,0,0,0,0,0,0
1104,0,0,0,0,0,0
1377,0,0,0,0,0,0
1207,0,0,0,0,0,0
1212,0,0,0,0,0,0
1955,0,0,0,0,0,0
1508,0,0,0,0,0,0
1472,0,0,0,0,0,0
1557,0,0,0,0,0,0
1584,0,0,0,0,0,0
934,0,0,0,0,0,0
1899,0,0,0,0,0,0
1105,0,0,0,0,0,0
1073,0,0,0,0,0,0
1940,0,0,0,0,0,0
2101,0,0,0,0,0,0
1752,0,0,0,0,0,0
882,0,0,0,0,0,0
2176,0,0,0,0,0,0
1484,0,0,0,0,0,0
1016,0,0,0,0,0,0
1666,0,0,0,0,0,0
978,0,0,0,0,0,0
1467,0,0,0,0,0,0
1279,0,0,0,0,0,0
1077,0,0,0,0,0,0
1625,0,0,0,0,0,0
1558,0,0,0,0,0,0
1894,0,0,0,0,0,0
917,0,0,0,0,0,0
918,0,0,0,0,0,0
1473,0,0,0,0,0,0
1596,0,0,0,0,0,0
1538,0,0,0,0,0,0
990,0,0,0,0,0,0
1511,0,0,0,0,0,0
1991,0,0,0,0,0,0
1462,0,0,0,0,0,0
1143,0,0,0,0,0,0
1250,0,0,0,0,0,0
1192,0,0,0,0,0,0
1961,0,0,0,0,0,0
1671,0,0,0,0,0,0
1740,0,343,0,653,0,0
1597,0,0,0,0,0,0
1548,0,0,0,0,0,0
1080,0,0,0,0,0,0
1550,0,0,0,0,0,0
2185,0,0,0,0,0,0
1748,0,0,0,0,0,0
2169,0,0,0,0,0,0
1299,0,0,0,0,0,0
1203,0,0,0,0,0,0
938,0,0,0,0,0,0
1363,0,0,0,0,0,0
2040,0,0,0,0,0,0
1803,0,0,0,0,0,0
2211,0,0,0,0,0,0
1399,0,0,0,0,0,0
1426,0,0,0,0,0,0
1492,0,0,0,0,0,0
1157,0,0,0,0,0,0
1964,0,0,0,0,0,0
1845,0,0,0,0,0,0
1171,0,0,0,0,0,0
1891,0,0,0,0,0,0
1333,0,0,0,0,0,0
1605,0,0,0,0,0,0
1058,0,0,0,0,0,0
1722,0,0,0,0,0,0
1487,0,0,0,0,0,0
1779,0,0,0,0,0,0
1560,0,0,0,0,0,0
2033,0,0,0,0,0,0
1847,0,0,0,0,0,0
1993,0,0,0,0,0,0
1059,0,0,0,0,0,0
1931,0,0,0,0,0,0
1477,0,0,0,0,0,0
1602,0,0,0,0,0,0
1520,0,0,0,0,0,0
1633,0,0,0,0,0,0
1892,0,0,0,0,0,0
892,0,0,0,0,0,0
1415,0,0,0,0,0,0
1744,0,0,0,0,0,0
940,0,0,0,0,0,0
1145,0,0,0,0,0,0
2007,0,0,0,0,0,0
1833,0,0,0,0,0,0
2120,0,0,0,0,0,0
1233,0,0,0,0,0,0
1256,0,0,0,0,0,0
2221,0,0,0,0,0,0
2142,0,0,0,0,0,0
955,0,0,0,0,0,0
1807,0,686,0,856,0,0
2011,0,0,0,0,0,0
1319,0,0,0,0,0,0
1147,0,0,0,0,0,0
2102,0,0,0,0,0,0
2042,0,0,0,0,0,0
963,0,0,0,0,0,0
1834,0,347,601,387,126,251
2084,0,198,373,176,251,251
1887,0,0,0,0,0,0
1460,0,0,0,0,0,0
1327,0,0,0,0,0,0
1099,0,0,0,0,0,0
1713,0,25,35,29,16,15
1396,0,0,0,0,0,0
1772,0,0,0,0,0,0
1897,0,0,0,0,0,0
1498,0,0,0,0,0,0
1515,0,0,0,0,0,0
1255,0,0,0,0,0,0
952,0,33,71,38,30,51
1272,0,1024,0,807,501,601
1750,0,951,751,847,501,0
2201,0,1894,0,0,0,0
1535,0,309,561,349,401,401
1573,0,427,801,435,601,501
1493,0,0,0,0,0,0
1795,0,579,0,0,301,0
1431,0,231,0,261,0,0
1502,0,806,0,936,0,0
1578,0,0,0,0,0,0
1975,0,0,0,0,0,0
1098,0,0,0,0,0,0
1291,0,0,0,0,0,0
1111,0,0,0,0,0,0
2057,0,0,0,0,0,0
1260,0,0,0,0,0,0
1387,0,0,0,0,0,0
1239,0,0,0,0,0,0
2135,0,0,0,0,0,0
1683,0,0,0,0,0,0
1839,0,0,0,0,0,0
2070,0,1104,0,1148,301,501
1734,0,1455,0,0,0,0
996,0,0,0,0,0,0
2193,0,0,0,0,0,0
1033,0,0,0,0,0,0
1032,0,0,0,0,0,0
1069,0,916,0,750,0,0
2049,0,0,0,0,0,0
1514,0,0,0,0,0,0
1595,0,0,0,0,0,0
1290,0,0,0,0,0,0
1861,0,0,0,0,0,0
1066,0,0,0,0,0,0
2184,0,0,0,0,0,0
2134,0,0,0,0,0,0
1198,0,0,0,0,0,0
1135,0,0,0,0,0,0
899,0,0,0,0,0,0
1655,0,0,0,0,0,0
1793,0,0,0,0,0,0
1819,0,0,0,0,0,0
1459,0,0,0,0,0,0
1454,0,1568,0,0,0,0
1607,0,0,0,0,0,0
1244,0,0,0,0,0,0
1076,0,0,0,0,0,0
2122,0,0,0,0,0,0
